,,MATERIAL_ID,fabric,fabric,fabric,fabric,fabric,color_way
0,0.0,10.0,fabric,,Solis / SOHM023-C1-K 2.5L,S,,COLOR
1,1.0,14.0,fabric,NON INSULATED,,,,
2,2.0,20.0,fabric,BRUSHED TECH MESH,SUPPLIER / REF CODE,CHIN FACING,100% POLYESTER,COLOR
3,3.0,21.0,fabric,SOLID 210T ,SOLIS / SONP006-1,POCKET BAGS (TOP HAND),100% NYLON,COLOR
4,4.0,22.0,fabric,MESH,SUPPLIER / REF CODE,POCKET BAGS (PALM SIDE),100% POLYESTER,COLOR
