,,MATERIAL_ID,CATEGORY,,,position,,color_way,color_way,color_way,color_way
0,0.0,6.0,fabric,INSULATION:,,NON INSULATED,,,TARGET FOB:,,0
1,1.0,9.0,zipper, #5 REVERSE COIL MATTE WATER RESISTANT,YKK / 2-WAY SEMI AUTO LOCKING WITH 2 L1 CUSTOM PULLS,CENTER FRONT,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/ TEETH COLOR: BLACK
2,2.0,10.0,other, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,CHEST POCKETS VERTICAL,2,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK
3,3.0,11.0,other, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,SLEEVE POCKET,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK
4,4.0,12.0,other, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,UNDERARM VENTS,1 PER SIDE = 2,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK
5,5.0,13.0,other, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK
6,6.0,14.0,other, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,LINING POCKET VERTICAL,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK
7,7.0,17.0,other,"L1-2018-TRIM-017
L1 Zipper Pull",YKK,CENTER FRONT,TOP AND BOTTOM PULL = 2,X6 BLACK OXIDES ,X6 BLACK OXIDES ,X6 BLACK OXIDES ,X6 BLACK OXIDES 
8,8.0,18.0,other,L1-2018-TRIM-018 / Non branded zipper pull Faux Leather ,PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,CHEST POCKETS (2) HAND POCKETS (2) SLEEVE POCKET (1),5,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER
9,9.0,19.0,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,UNDER ARM VENTS,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
10,10.0,20.0,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,LINING POCKET,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
11,11.0,23.0,other,"L1-2018-TRIM-012
Heat Transfer Label ",PLEASE SOURCE,FRONT RIGHT HEM,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD
