,,MATERIAL_ID,fabric,fabric,fabric,fabric,fabric,color_way,fabric
0,0.0,6.0,fabric,INSULATION:,,NON INSULATED,,,TARGET FOB:
1,1.0,14.0,fabric,NON INSULATED,,,,,
2,2.0,20.0,fabric,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% NYLON,COLOR,
3,3.0,21.0,fabric,SOLID 210T ,SOLIS / SONP006-1,MAIN BODY,100% NYLON,COLOR,
4,4.0,22.0,fabric,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,COLOR,
5,5.0,23.0,fabric,SOLID 210T ,SUPPLIER / REF CODE,CHEST POCKET BAG,100% NYLON,COLOR,
6,6.0,24.0,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,COLOR,
7,7.0,25.0,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,COLOR,
8,8.0,26.0,fabric,BRUSHED TECH MESH,SUPPLIER / REF CODE,NECK FACING,100% POLYESTER,COLOR,
9,9.0,27.0,fabric,LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,COLOR,
