,,MATERIAL_ID,fabric,fabric,fabric,fabric,fabric,color_way,color_way,color_way,fabric
0,0.0,6.0,fabric,INSULATION:,,40G PINNECO MANTLE ,,,TARGET FOB:,,
1,1.0,10.0,fabric,OTTOMAN,"SOLIS / SOTP080-2L32-I OTTOMAN, 10K 10K, C6 + DWR",A,,BLACK,BONE,GUNMETAL,X
2,2.0,11.0,fabric,OTTOMAN,"SOLIS / SOTP080-2L32-I OTTOMAN, 10K 10K, C6 + DWR",B,,RUST,BLACK,INK,X
3,3.0,12.0,fabric,BROKEN TWILL,"SOLIS / WL248 BROKEN TWILL, 10K 10K, C6 + DWR",A,,X,X,X,VINTAGE CAMO BROKEN TWILL
4,4.0,13.0,fabric,BROKEN TWILL,"SOLIS / WL248 BROKEN TWILL, 10K 10K, C6 + DWR",B,,X,X,X,VINTAGE CAMO BROKEN TWILL
5,5.0,16.0,insulation,POLYFILL INSULATION ,PINNECO MANTLE 40G ,ALL OVER,100% POLYESTER,PINNECO MANTLE 40G ,PINNECO MANTLE 40G ,PINNECO MANTLE 40G ,PINNECO MANTLE 40G 
6,6.0,22.0,fabric,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% NYLON,BLACK,BLACK,BLACK,BLACK
7,7.0,23.0,fabric,SOLID 210T ,SOLIS / SONP006-1,MAIN BODY,100% NYLON,BLACK,BLACK,BLACK,BLACK
8,8.0,24.0,fabric,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,BLACK,BLACK,BLACK,BLACK
9,9.0,25.0,fabric,SOLID 210T ,SOLIS / SONP006-1,POCKET BAGS OTHER THAN HAND,100% NYLON,BLACK,BLACK,BLACK,BLACK
10,10.0,26.0,fabric,SOLID COATED 210T,SOLIS / SONP006-PU03,LOWER BODY & POWDER SKIRT,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
11,11.0,27.0,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
12,12.0,28.0,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
13,13.0,29.0,other,REGULAR MESH,SUPPLIER / REF CODE,UNDERARM VENTS,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
14,14.0,30.0,other,REGULAR MESH ,SUPPLIER / REF CODE,GOGGLE POCKET,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
15,15.0,31.0,other,STRETCH LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,BLACK,BLACK,BLACK,BLACK
