,MATERIAL_ID,,,,position,,color_way,color_way,color_way,color_way,,CATEGORY
0,3.0,,,Insulation:,100gm in the body hood sleeves,,Collection: Freedom,,,,,
1,10.0,,,,,FABRICS & LININGS,,,,,,
2,11.0,A,Shell Fabric,SOTD109-C1-Y 100% Polyester 10K/8K 10K/8K +2-Layer +breathable coating+DWR (supplied by SOLIS),Main body,,VINTAGE BLACK,,BLACK,DARK NAVY,AB18MJ1_032,
3,12.0,B,Shell Fabric,SOTD109-PR01-Y 100% Polyester 10K/8K 10K/8K +2-Layer +breathable coating+DWR (supplied by SOLIS),Main body,,,DINOFLAGE,,,AB18MJ1_032,
4,13.0,C,Shell Fabric,SOTP069-C1-H 100% Polyester 10K/8K 15k/10k+2-Layer +breathable coating+DWR (supplied by SOLIS),"Sleeves, hood",,BLACK,BLACK,OXBLOOD,CAMEL,AB18MJ1_032,
5,14.0,D,Lining,210T-E EMB07 Tery Emboss  Taffeta(Supplied by Ecoya),"Inside lining, powder skirt, pocket bag",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,
6,15.0,E,Other , Velvety Tricot - SOTO048-1 (supplied by Solis),"Comfort chin guard, inner front pocket bag panel",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,
7,16.0,F,Other,100% poly MESH - SOTC025-1 (supplied by Solis),"vents, internal goggle pocket",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,
8,17.0,G,Other,nylon/elastic lycra - SONO029-1 (supplied by Solis),powder skirt,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,
9,18.0,H,Other,"1x1 rib knit,good quality Arcylic/Spandex",Cuffs,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,
10,19.0,I,Other,Lycra binding tape,Internal mesh pocket opening,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,
11,20.0,J,Other,Gripper elastic,powder skirt,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,
12,21.0,K,Other,100gm Insulation,"Main body, hood, sleeves",,,,,,AB18MJ1_032,
13,22.0,L,Pellon,lightweight interfacing (item# TBD),"Inner storm flap, powder skirt closure flaps",,WHITE,WHITE,WHITE,WHITE,AB18MJ1_032,
14,23.0,M,Pellon,heavyweight interfacing (item# TBD),hood brim,,WHITE,WHITE,WHITE,WHITE,AB18MJ1_032,
15,25.0,L,,,,ZIPPERS,,,,,AB18MJ1_032,
16,26.0,AA,Zipper,"YKK No.8 Vislon 2 way  zipper.  Auto-lock slider DA8LH, Silders bottom to bottom   (Right hand pull left hand insert)",C.F.,1,BLACK,BLACK,OXBLOOD 097,CAMEL 161,AB18MJ1_032,
17,27.0,BB,Zipper,YKK  No.5 nylon coil zippers.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN),( 2) hand pockets,2,BLACK,BLACK,OXBLOOD 097,CAMEL 161,AB18MJ1_032,
18,28.0,CC,Zipper,"YKK  No.5 nylon coil zippers,1-way hidden chain.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN)", vents,2,BLACK,BLACK,OXBLOOD 097,CAMEL 161,AB18MJ1_032,
19,29.0,DD,Zipper,"YKK  No.5 nylon coil zippers hidden chain ,auto-lock slider DA8LH1 (zipper closes UP)",1 internal pocket at w.'s inside LEFT,1,BLACK,BLACK,OXBLOOD 097,CAMEL 161,AB18MJ1_032,
20,30.0,EE,Zipper Pull,ABZP_01 Utility cord zipper pullers with tied end  (supplied by Wei Rong),"(2) pockets, (1) C.F. (2) vents,  (1) inside pocket",6,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,
21,33.0,FF,Stoppers,Round Barrel stopper - K-018 , (2) hood,2,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032,
22,34.0,GG,Stoppers,K343-2N push stoppers,(2) bottom hem,2,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032,
23,35.0,HH,Hand Pulls,Plastic hand pulls ZP11 , (2) bottom hem,2,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032,
24,36.0,II,Webbing,"Flat Webbing Tape, 8mm", key clip attachment at inside wearer's right pocket,1,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,
25,37.0,JJ,Webbing,flat webbing tape 8mm width, (2)Stopper attachments loops at bottom hem,2,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,
26,38.0,KK,Hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,AB18MJ1_032,
27,39.0,LL,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm (incl. washers)"," (1) snap tabs at inside bottom hem,  (2) at powder skirt",3,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,AB18MJ1_032,
28,40.0,MM,Hardware,Male snap only (incl. washers),(2) powder skirt,2,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,AB18MJ1_032,
29,41.0,NN, Drawcord,Flat Shoelace drawcord WITH Black Oxidize finish METAL ENDS  w: 1 cm ,Hood Opening,1,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032,
30,42.0,OO,Elastic Drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032,
31,43.0,PP,Key Clip,plastic key clip attched with webbing loop,Inside wearers right pocket.,1,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,
32,44.0,QQ,Main Label,ABWV_67 Freedom Main Label,"inside c.b. neck, see Q/A for placement",1,GOLD/BLACK,GOLD/BLACK,GOLD/BLACK,GOLD/BLACK,AB18MJ1_032,
33,45.0,RR,Size Label,ABWV_69V Vietnam Size Label,sewn in and centered below main label,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MJ1_032,
34,46.0,SS,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,
35,47.0,TT,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back neck seam,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MJ1_032,
36,48.0,UU,Flag  Label,ABLT_01 Flag Label (Pill logo side),RIGHT vent 2cm from bottom of vent,1,BLACK/WHITE,BLACK/WHITE,BLACK/WHITE,BLACK/WHITE,AB18MJ1_032,
37,49.0,VV,Branding,ABPR_10 Large Airpill Print,"Centered on wearer's back, see artwork palcement for detail",1,BLACK,BLACK,OXBLOOD 19-1331TPX,CAMEL 17-1019TPX,AB18MJ1_032,
38,50.0,WW,Branding,ABWV_103 Awesome Woven Label,"LEFT chest, see art placement for detail",1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MJ1_032,
39,53.0,XX,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MJ1_032,
40,54.0,YY,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MJ1_032,
41,55.0,ZZ,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,CLEAR,CLEAR,CLEAR,CLEAR,AB18MJ1_032,
42,56.0,AAA,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,TBD,TBD,TBD,TBD,AB18MJ1_032,
43,57.0,BBB,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,TBD,TBD,TBD,TBD,AB18MJ1_032,
44,62.0,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,,,
45,64.0,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,,,
