,,MATERIAL_ID,fabric,fabric,fabric,fabric,fabric,color_way,fabric
0,0.0,6.0,insulation,INSULATION:,,QUILTED YOKE AND ELBOW PATCHES 40G PINNECO CORE,,,TARGET FOB:
1,1.0,12.0,insulation,,"RIBBING: LEADER COLLAR, 
1X1 POLYESTER RIB KNIT ",T1 (COLLAR),,COLOR,
2,2.0,15.0,insulation,,PINNECO CORE,YOKE AND ELBOW PATCHES,,40G,
3,3.0,18.0,other,NON TAPED,,,,,
4,4.0,21.0,fabric,SOLID 210T,SOLIS / SONP006-1,POCKET BAGS?,100% NYLON,COLOR,
