,,MATERIAL_ID,fabric,fabric,fabric,,fabric,color_way,fabric,color_way,
0,0.0,6.0,insulation,,INSULATION: ,,"60G ""CS"" POLYFILL",,TARGET FOB: ,,33.0
1,1.0,11.0,other,BODY,MICROTWILL SOTT023-2L2-I $3.75 ,,,BLACK,MILITARY,,
2,2.0,12.0,insulation,CUFF RIBBING,1 X 1 POLYESTER  RIBBING ,,,BLACK,BLACK,BLACK ON BOTH COLORWAYS,
3,3.0,15.0,interfacing,"60G ""CS"" POLYFILL ALL OVER",,,,"60G ""CS"" POLYFILL ALL OVER","60G ""CS"" POLYFILL ALL OVER",,
4,4.0,21.0,fabric,BODY,SOLID QUILTED 210T,SOLIS / REF NUMBER,,BLACK,BLACK,,
5,5.0,22.0,fabric,"SLEEVES, HAND POCKET LINING",SOLID 210T,SOLIS / REF NUMBER,,BLACK,BLACK,,
