,,MATERIAL_ID,CATEGORY,position,,,,color_way
0,0.0,9.0,zipper,CENTER FRONT,#5 COIL,YKK ZA/DAG SNAP ON // 2-WAY SEPERATING AUTO LOCK ,1,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / DTM TAPE
1,1.0,10.0,zipper,RIGHT CHEST POCKET,#5 MATTE WATER RESISTANT,DADHR DIECAST WIRE (NON YKK) AUTO LOCK ,1,DTM SLIDER AND TAPE / DTM TAPE
2,2.0,11.0,zipper,UNDERARMS,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK (ZIP UP TO CLOSE) ,1 PER SIDE = 2,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / DTM TAPE
3,3.0,12.0,zipper,SIDE ENTRY HAND POCKETS,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK ,1 PER SIDE = 2,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / DTM TAPE
4,4.0,13.0,zipper,INSIDE POCKET,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK ,1,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / BLACK TAPE
5,5.0,14.0,zipper,REMOVABLE POWDER SKIRT,#3 COIL,,1,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / BLACK TAPE
6,6.0,17.0,other,CENTER FRONT,L1 SNAP ON METAL ZIPPER PULL,LUKS / L1-2016-TRIM-009 ,1,PSEUDO ANTI SILVER 
7,7.0,18.0,other,UNDERARMS, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1 PER SIDE = 2,SHELL FABRIC MATCHING
8,8.0,19.0,other,SIDE ENTRY HAND POCKETS, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1 PER SIDE = 2,SHELL FABRIC MATCHING
9,9.0,20.0,other,INSIDE POCKET, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1,SHELL FABRIC MATCHING
10,10.0,23.0,other,FRONT LEFT SLEEVE,L1 SMALL EMBROIDERY,SOLUNA / L1-2016-026,1,DTM
11,11.0,25.0,other,LEFT CHEST,L1 NEW PATCH,LUKS / NEW TRIM ,1,BLACK
12,12.0,28.0,other,LEFT CHEST POCKET,24L METAL SNAP,PLEASE SORCE,1 SET,PSEUDO ANTI SILVER
13,13.0,29.0,other,HIDDEN AT CHIN AND HEM,24L METAL SNAP,PLEASE SORCE,2 SETS,PSEUDO ANTI SILVER
14,14.0,30.0,other,CF POWDER SKIRT CLOSURE,14 MM PLASTIC SNAP,DURAFLEX / 1414,"4 MALE, 2 FEMALE",BLACK
15,15.0,31.0,other,POW SKIRT: JACKET TO PANT CONNECTION ON POWDERSKIRT HEM,14 MM PLASTIC SNAP,DURAFLEX / 1414,3 SETS,BLACK
16,16.0,32.0,other,"""SNAP AWAY POWDER SKIRT"" SNAP POWDER SKIRT TO FRONT FACING WHEN NOT IN USE",14 MM PLASTIC SNAP,DURAFLEX / 1414,"1 MALE, 1 FEMALE",BLACK
17,17.0,35.0,other,BACK HOOD CORD LOCK,CORD LOCK,KNK / SP-177,1 PER SIDE = 2,TBD
18,18.0,36.0,other,BACK HOOD CORD LOCK TIP,CORD TIP,KNK / CS-074,1 PER SIDE = 2,TBD
19,19.0,37.0,other,FRONT HOOD CORD LOCKS,CORD LOCK,KNK / SP-204,1 PER SIDE = 2,TBD
20,20.0,38.0,other,HEM CORD LOCKS,CORD LOCK,KNK /  SP-058,1 PER SIDE = 2,TBD
21,21.0,39.0,other,POCKET CORD TIP,CORD LOCK,KNK / CS-1,1 PER SIDE = 2,TBD
22,22.0,42.0,other,BACK HOOD CORD EXIT,GROMMET 11.5 mm (large),PLEASE SORCE,1 PER SIDE = 2,PSEUDO ANTI SILVER 
23,23.0,43.0,other,FRONT HOOD ADJUST CORD EXIT,GROMMET  8mm diameter,PLEASE SORCE,2 PER SIDE = 4,PSEUDO ANTI SILVER 
24,24.0,44.0,other,HEM ADJUST CORD EXIT,GROMMET  8mm diameter,PLEASE SORCE,2 PER SIDE = 4,PSEUDO ANTI SILVER 
25,25.0,45.0,other,HEM ADJUST CORD EXIT IN LINING POCKET,GROMMET  8mm diameter,PLEASE SORCE,1 PER SIDE = 2,PSEUDO ANTI SILVER 
26,26.0,48.0,other,HOOD & HEM,3mm STRETCH SHOCKCORD,SUPPLER / REF NUBER,,
27,27.0,51.0,other,KEYCLIP LOOP RIGHT HAND POCKET,"1/4"" FLAT X 1 3/4"" LOOP",SUPPLER / REF NUBER,1,BLACK
28,28.0,52.0,other,HEM & HOOD CORD LOCK TIE DOWNS,"1/4"" FLAT WEBBING LOOP",SUPPLER / REF NUBER,5,BLACK
29,29.0,53.0,other,RIGHT HAND POCKET,PLASTIC KEYCLIP ,SUPPLER / REF NUBER,1,BLACK
30,30.0,54.0,other,JACKET TO PANT CONNECTION CENTER BACK ,"3/4"" X 1"" FINISHED ",SUPPLER / REF NUBER,TAB BEHIND EACH SNAP = 2,BLACK
31,31.0,55.0,other,JACKET TO PANT CONNECTION AT SIDE TABS,"3/4"" X 3 1/4"" FLAT WEBBING",SUPPLER / REF NUBER,1,BLACK
32,32.0,58.0,other,POWDER SKIRT GRIPPER ELASTIC,25mm,SUPPLER / REF NUBER,1,STOCK
33,33.0,59.0,other,JACKET TO PANT CONNECTION CENTER BACK TAB,"FLAT ELASTIC TAPE 3/4"" x 4 1/4""",SUPPLER / REF NUBER,1,BLACK
