,label,material/trim,description,location,qty,black,forest,dk khaki,greyskull,wood duck critterflage
10,a,shell fabric,sotp013-2l32-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, pockets, collar",none,black,forest,dk khaki,greyskull,
11,b,shell fabric,sotp013-pr20-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, pockets, collar",none,,,,,wood duck critterflage
12,c,lining, soto048-p velvety tricot -  smooth side used as face side,front and back body only,none,night jungle,night jungle,night jungle,night jungle,
13,d,lining, soto048-1 velvety tricot -  smooth side used as face side,front and back body only,none,,,,,black
14,e,lining, soto048-1 velvety tricot -  smooth side used as face side,"inside lining, pocket bag, sleeves",none,black,black,black,black,black
15,f,pellon,lightweight interfacing (item# tbd),"collar, placket, cuffs, welts",none,white,white,white,white,white
17,bb,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)",(5)c.f.,5,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass
18,bb, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,bottom hem,1,black,black,black,black,black
19,bb,hardware,"metal eyelets, 12mm (incl. washers)", (2) inside bottom hem,2,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass
20,bb,stopper,leather stopper abstpr_01, (2) bottom hem drawcord,2,brown,brown,brown,brown,brown
21,bb,elastic , 2.5 cm flat elastic ,(2) cuffs,2,black,black,black,black,black
22,dd,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,cream/black,cream/black,cream/black,cream/black
23,ee,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,black/cream,black/cream,black/cream,black/cream
24,ff,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black
25,gg,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,black/cream,black/cream,black/cream,black/cream
26,hh,branding,abpa_82 leather terry patch,"left back side seam, see placement page for detail",1,black/white,black/white,black/white,black/white,black/white
28,ii,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
29,jj,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
30,kk,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,clear
31,ll,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd
32,mm,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd
