,position,ref num,location,amount,military,ink,walnut,black,0,0
18,"l1-2018-trim-009
freedom snap",luks,"lower chin (1), center front",5 cap only,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
19,"l1-2018-trim-003
faux leather patch",please source: same supplier as other faux leather trims,front right hem,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
20,"l1-2018-trim-024
l1 embroidery small
3cm x 2.77cm  ",soluna,front left sleeve hem,1,match to shell,match to shell,match to shell,match to shell,none,none
21,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,match to shell,match to shell,match to shell,match to shell,none,none
22,trims,supplier/ reference number,location,amount,military,ink,walnut,black,0,0
23,15mm metal snap,luk's / 404,powder skirt - front closure,"2 female, 4 male",al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,none,none
24,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,none,none
25,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection,3 sets,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,none,none
26,metal eyelets 11mm ,luk's / et89,hood cord exit front,2,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
27,metal eyelets 8mm ,luk's / et04,hem adjust,2 per side = 4,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
28,cord lock,sv160819-4a,hem adjust,1 per side = 2,19-0515 tcx military, 19-4010 tcx ink, 18-0513 tcx walnut, 19-4006 tcx black,none,none
29,bead,sv160725-1a,hem adjust,1 per side = 2,19-0515 tcx military, 19-4010 tcx ink, 18-0513 tcx walnut, 19-4006 tcx black,none,none
30,keyclip,as bulk,right hand pocket,1,black,black,black,black,none,none
31,metal drawcord tip,see photo,hood shockcord tips,1 per side = 2,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
32,notions,supplier/ reference number,location,amount,military,ink,walnut,black,0,0
33,flat drawcord,example is chun wo ho/ cw17-022 - please source as photo,hood,1,19-0515 tcx military, 19-4010 tcx ink, 18-0513 tcx walnut, 19-4006 tcx black,none,none
34,"3/8"" grosgrain",soluna,attach hem cord lock,1 per side = 2,black,black,black,black,none,none
35,"1/4"" grosgrain",soluna,attach keyclip right hand pocket ,1,black,black,black,black,none,none
36,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",soluna,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black,none,none
37,"shell fabric tab  1"" x 1"" wrap around ",soluna,jacket to pant connection center back on tab,1,shell,shell,shell,shell,none,none
38,"shell fabric tab  1"" x 1"" wrap around ",soluna,jacket to pant connection center back under snap on gripper elastic,1,shell,shell,shell,shell,none,none
39,"shell fabric tab 3/4"" x  1"" ",soluna,jacket to pant connection at side tabs under snaps,1 per side = 2,shell,shell,shell,shell,none,none
40,"elastic 1"" x 4""",soluna,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black,none,none
41,25mm gripper elastic,mtt0022,powder skirt,1,black,black,black,black,none,none
42,elastine binding,soluna,goggle pocket binding,1,black,black,black,black,none,none
43,"1/4"" elastic",soluna,cable guide,1,black,black,black,black,none,none
44,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw15-065
chun wo ho (please source)",hem,1,"colorway: 4 = 19-0515 tcx military/
17-0620 tcx dusty green ","colorway: 6
19-4010 tcx ink /
18-0403 tcx gunmetal","colorway: 5 = 18-0513 tcx walnut/
19-4006 tcx black ","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal",none,none
45,velcro,supplier/ reference number,location,amount,military,ink,walnut,black,0,0
46,"1/2"" x 1 1/2"" velcro with rounded corners",xxx,chin,1,match to shell,match to shell,match to shell,match to shell,none,none
47,"1/2"" x 3 velcro with rounded corners",xxx,center front placket,4,match to shell,match to shell,match to shell,match to shell,none,none
48,"3/4"" x 3 3/4"" velcro with rounded corners",xxx,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
49,"3/4"" x 2 1/2"" velcro with rounded corners",xxx,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
50,thread,spi,supplier/ ref number,amount,military,ink,walnut,black,0,0
51,seams,10-12 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,none,none
52,denim (heavy) weight topstitch thread - can you suggest thickness,8-10 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,none,none
53,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell,none,none
54,labels ,supplier/ reference number,location,amount,military,ink,walnut,black,0,0
55,10k/10k critically taped,soluna/ main label,center back below neck seam,1,10k/10k critically taped,10k/10k critically taped,10k/10k critically taped,10k/10k critically taped,none,none
56,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl",none,none
57,hang tags,supplier/ reference number,location,amount,military,ink,walnut,black,0,0
58,mens jacket hang tag,soluna/ mens jacket hang tag,center back locker loop,1,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag,none,none
59,care and content labels,supplier/ reference number,location,amount,military,ink,walnut,black,0,0
60,address label,factory sourced,lining left side seam,1,address label,address label,address label,address label,none,none
61,content label,factory sourced,lining left side seam,1,content label,content label,content label,content label,none,none
62,washing label,factory sourced,lining left side seam,1,washing label,washing label,washing label,washing label,none,none
