,position,item,ref num,amount,soil / black,black / oxblood,0,0,0,0
9,chest pocket,hem wrap,luks / l1-2016-trim-013,1,black ,black ,none,none,none,none
11,back shoulder,l1 embroidery large,soluna / l1-2016-027,1,dtm,dtm,none,none,none,none
12,snaps,item,supplier/ ref number,amount,soil / black,black / oxblood,0,0,0,0
14,thread,spi,ref number,amount,soil / black,black / oxblood,0,0,0,0
18,marketing,description,ref number,amount,soil / black,black / oxblood,0,0,0,0
19,lining cb locker loop,l1 hang tag,l1 hang tag,1,l1 hang tag,none,none,none,none,none
20,lining cb facing,wp/ breathability // rn ca / made in china,5k/5k ,1,5k/5k ,none,none,none,none,none
21,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
22,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
23,lining left side seam,washing label,sew as loop,1,washing label,none,none,none,none,none
24,lining locket loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none,none,none
