,position,item,ref num,content,black,camo,sand / dark slate,harvest / raven,none,none
10,a,broken twill $3.70 10k/10k coat +80/10 dwr,solis,100% poly,black,x,x,harvest,none,none
11,a,pa10004 $3.00 flat face 10k/10k coat + 80/10 dwr,raco,100% poly,x,camo,sand,x,none,none
12,b,pa10004 $3.00 flat face 10k/10k coat + 80/10 dwr,raco,100% poly,black,camo,dark slate,raven,none,none
13,insulation,item,supplier/ ref number,content,black,camo,sand / dark slate,harvest / raven,0,0
14,"40g ""cs"" polyfill all over",none,none,none,"40g ""cs"" polyfill all over","40g ""cs"" polyfill all over","40g ""cs"" polyfill all over","40g ""cs"" polyfill all over",none,none
15,seam tape,item,supplier/ ref number,content,black,camo,sand / dark slate,harvest / raven,0,0
16,critically taped,width...seam tape,tsgs,none,critically taped,critically taped,critically taped,critically taped,none,none
17,lining,item,supplier/ ref number,content,black,camo,sand / dark slate,harvest / raven,0,0
18,"hood,  sleeves, chest and top entry pocket bag, front panels",solid nylon 210t,solis / ref number,none,black,black,black,black,none,none
19,black panel,solid 210t with eagle panel print,solis / ref number,none,solid black 210t with eagle print,solid black 210t with eagle print,solid black 210t with eagle print,solid black 210t with eagle print,none,none
21,lower body & powder skirt ,solid coated 210t,solis / ref number,none,black,black,black,black,none,none
22,chin & side entry pocket bags,brushed tricot,solis / ref number,none,black,black,black,black,none,none
23,underam vents,a-101 regular mesh,solis / ref number,none,black,black,black,black,none,none
24,goggle pocket,a 101 regular mesh power stretch mesh,solis / ref number,none,black,black,black,black,none,none
25,sleeve gaiter,stretch lycra,solis / ref number,none,black,black,black,black,none,none
