,position,item,ref num,content,colorway 1 ,colorway 2,colorway 3,none,none,none
12,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
15,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
17,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
