,position,item,ref num,content,black,military,pink,none,none,none
10,a,micro twill 5k5k coating c6 wr $3.75,solis sott023-2l2-i,100%poly,black,military,pink,none,none,none
11,ribbing,need to source ,none,none,19-4006 tpx black,19-0515 tpx military,15-1512 tpx pink,none,none,none
12,insulation,item,supplier/ ref number,content,black,military,pink,0,0,0
14,seam tape,item,supplier/ ref number,content,black,military,pink,0,0,0
15,critically taped,none,tsgs,none,critically taped,critically taped,critically taped,none,none,none
16,lining,item,supplier/ ref number,content,black,military,pink,0,0,0
17,chin & hand pocket bags,brushed tricot,please source,none,black,black,black,none,none,none
18,body & hood,blossom print satin,solis / pr258 blossoms ,none,solis / pr258 blossoms,solis / pr258 blossoms,solis / pr258 blossoms,none,none,none
19,"sleeves , inner pocket lining, sleeve pocket lining",solid 210t,solis / sonp006-1,none,black,black,black,none,none,none
