37,"grosgrain 3/8""",none,attach hem cord lock,1 per side = 2,black,black,black,black,none,none
38,"grosgrain 1/4""",none,attach keyclip right hand pocket ,1,black,black,black,black,none,none
39,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black,none,none
40,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,match to shell,match to shell,match to shell,match to shell,none,none
41,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,match to shell,match to shell,match to shell,match to shell,none,none
42,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
43,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black,none,none
44,elastic ,none,back of sleeve cuffs,1,available,available,available,available,none,none
45,"elastic 1/4"" ",none,cable guide,1,black,black,black,black,none,none
46,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black,none,none
47,elastine binding,none,goggle pocket binding,1,black,black,black,black,none,none
48,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw15-065
chun wo ho (please source)",hood & hem,1,"2- color shock cord =
colorway: 2
19-1540 tcx rust/
19-4006 tcx black","2- color shock cord =
colorway: 6
19-4010 tcx ink /
18-0403 tcx gunmetal","2- color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal","2- color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal",none,none
49,velcro,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
50," 1/2"" x 1 1/2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",chin,1,match to shell,match to shell,match to shell,black,none,none
51," 1/2"" x 3 velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",center front placket,4,match to shell,match to shell,match to shell,black,none,none
52,"1/2"" x 2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",pocket flaps,2 per side = 4,match to shell,match to shell,match to shell,black,none,none
53,"1"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,black,none,none
54,"1"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,black,none,none
55,thread,spi,supplier/ ref number,amount,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
56,seams,10-12 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,none,none
57,topstitch,8-10 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,none,none
58,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell,none,none
59,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell,match to shell,match to shell,none,none
60,labels ,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
61,10k/10k critically taped,soluna/ main label,center back below neck seam,1,10k/10k critically taped,none,none,none,none,none
62,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl",none,none,none,none,none
63,hang tags,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
64,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none,none,none,none
65,care and content labels,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
66,address label,factory sourced,lining left side seam,1,address label,none,none,none,none,none
67,content label,factory sourced,lining left side seam,1,content label,none,none,none,none,none
68,washing label,factory sourced,lining left side seam,1,washing label,none,none,none,none,none
