,position,ref num,location ,content,silt,walnut,black,none,none,none
9,micro ripstop,solis / sotl120-pu01 micro rip 2l dot lam 10k/10k / c6 + dwr,a,none,silt,walnut,black,none,none,none
10,insulation,supplier/ reference number,location ,content,silt,walnut,black,0,0,0
11,polyfill insulation ,pinneco core 150g,all over,100% polyester,pinneco core 150g,pinneco core 150g,pinneco core 150g,none,none,none
12,seam tape,supplier/ reference number,location ,content,silt,walnut,black,0,0,0
13,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped,none,none,none
14,lining,supplier/ reference number,location ,content,silt,walnut,black,0,0,0
15,solid 210t ,solis / sonp006-1,hood,100% nylon,black,black,black,none,none,none
16,solid 210t ,solis / sonp006-1,main body,100% nylon,black,black,black,none,none,none
17,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black,none,none,none
18,solid 210t ,solis / sonp006-1,chest pocket bag,100% nylon,black,black,black,none,none,none
19,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,none,none,none
20,brushed tricot,solis / brushed tricot,hand pocket bags,100% polyester,black,black,black,none,none,none
21,brushed tricot,solis / brushed tricot,chin guard,100% polyester,black,black,black,none,none,none
22,stretch lycra,supplier / ref code,sleeve gaiters,none,black,black,black,none,none,none
