,position,item,ref num,content,colorway 1 ,colorway 2,colorway 3,none,none,none
11,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
12,hood & sleeves,synthetic down,df 200gm,100% poly,df 200gm,none,none,none,none,none
13,body,synthetic down,df 240gm,100% poly,df 240gm,none,none,none,none,none
14,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
16,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
