,label,material/trim,description,location,qty,black,tbd,pizza,tbd
9,a,main fabric,94% spun polyester 6%spandex single jersey + wicking               r21103023,main body,none,black,tbd,pizza,tbd
10,b,binding,94% spun polyester 6%spandex single jersey + wicking                      r21103023,hood opening,none,black,tbd,pizza,tbd
11,c,thread,none,flatlock seams upper body,none,black,tbd,black,tbd
12,d,thread,none,flatlock seams lower body,none,black,tbd,black,tbd
14,aa,zipper,ykk  no.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider dadr4 ,c.f. zipper,1,black,tbd,black,tbd
15,bb,zipper,ykk  no.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider dadr4 ,waistband zipper,1,black,tbd,black,tbd
17,cc,main label,abtr_538v transfer label 100% polyester,"inside c.b. neck, 3  cm below neck seam",1,white,tbd,black,tbd
18,dd,w/c label,satin label with print,"wearer's left side seam, 10 cm up from waistband seam",1,black,black,black,black
19,ee,embroidery,ninja star abem_015a 2-color ,"at wearer's left chest, sewn directly to chest with sns edge stitch, see palcement page for detail  (a. star color, b. pill color)",1,a) metallic silver st101                      b) black,tbd,,tbd
20,ff,embroidery,abem_310 pizza ninja star,"at wearer's left chest, sewn directly to chest with sns edge stitch",1,,,yellow/red/black/brown,
22,gg,hangtag,none,c.f. zipper. use white color webbing rope to attach. supplied by sml.,1,tbd,tbd,tbd,tbd
23,hh,size sticker,clear size indication zipper,2 pcs placed on each designated white square on side of packing box.,2,clear,clear,clear,clear
24,ii,upc sticker,sticker width 3.5 cm,"at bottom side of ninja suit packaging box.  place in looker's lower right corner, 2 cm from each edge.  upc sticker to be provided by factory for 12/13.",1,white,white,white,white
25,jj,ninja packing box,see sample,garment folded neatly and placed in packing box.  will advise ordering information when available.,1,black,black,black,black
