,description,ref,location,amount,colorway/4,colorway/5,colorway/6
1, #5 coil zipper,ykk / 1-way semi auto locking dalh,fly ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
2, #5 matte water resistant coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: matte black,silder/pull color: x6 black oxides zipper tape &teeth color: matte black,silder/pull color: x6 black oxides zipper tape &teeth color: matte black
3, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,back right pocket,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
4, #5 coil zipper,non ykk / 2-way zip down to close dadhr die cast wire non locking,balls out venting,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
5,additional zipper pulls,supplier/ reference number,location,amount,silt,black,walnut
6,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,please source: same supplier as other faux leather trims,hand pocket zippers,1 per side = 2,black faux leather,black faux leather,black faux leather
7,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,please source: same supplier as other faux leather trims,back right pocket,1,black faux leather,black faux leather,black faux leather
8, 11nt-045 / self fabric pull ,factory made,balls out venting,1,match to shell,match to shell,match to shell
9,branded trims,supplier/ reference number,location,amount,silt,black,walnut
10,"l1-2018-trim-010
faux leather backed snap ",luks,front waist band,1,sas54 pseudo anti silver / black faux leather,sas54 pseudo anti silver / black faux leather,sas54 pseudo anti silver / black faux leather
11,"l1-2018-trim-031
large black faux leather belt end wrap",please source: same supplier as other faux leather trims,hem wrap on end of belt webbing,1,black faux leather,black faux leather,black faux leather
12,"l1-2018-trim-012
heat transfer label  ",please source,back pocket bag,1,black/gold,black/gold,black/gold
13,"l1-2018-trim-015 
l1 injection mold logo",please source,front left hem,1,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric
14,trims,supplier/ reference number,location,amount,silt,black,walnut
15,daddy buckle,"30mm daddy buckle
from woojin",front waist band,1,black,black,black
16,15mm metal snap,luk's / 404,back gaiter/ pant hem,1 per side = 2,al023 alloy (d),al023 alloy (d),al023 alloy (d)
17,boot hook,xxx,front gaiter,1 per side = 2,al023 alloy (d),al023 alloy (d),al023 alloy (d)
18,keyclip,as last year production,right hand pocket,1,black,black,black
19,notions,supplier/ reference number,location,amount,silt,black,walnut
20,"webbing 30mm wide, 1.6mm thick",please source as photo,waist band,1,black,black,black
21,"grosgrain 1/4""",xxx,right hand pocket attach keyclip,1,black,black,black
22,"grossgrain 1/4""",factory,balls out venting mesh guard,1,black,black,black
23,self fabric tab 1x1,factory,front gaiter under boot hook,1 per side = 2,match to shell,match to shell,match to shell
24,self fabric tab 1x1,factory,back gaiter under finger snap hem adjust,1 per side = 2,match to shell,match to shell,match to shell
25,"elastic 1""",factory,pant hem,1 per side = 2,available,available,available
26,gripper elastic 25mm non logo,mtt0022,leg gaiters,2,black,black,black
27,bonding film,supplier/ reference number,location,amount,silt,black,walnut
28,bonding film,none,fly opening,1,bonding film,bonding film,bonding film
29,bonding film,none,back pocket welt,1,bonding film,bonding film,bonding film
30,bonding film,none,front belt loop,1,bonding film,bonding film,bonding film
31,velcro,supplier/ reference number,location,amount,silt,black,walnut
32,thread,spi,supplier/ ref number,amount,silt,black,walnut
33,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell
34,topstitch,8-10 spi,Feb-30,none,match to shell,match to shell,match to shell
35,bartacks,none,100/2,none,match to shell,match to shell,match to shell
36,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell,match to shell
37,labels ,supplier/ reference number,location,amount,silt,black,walnut
38,20k/20k fully taped,soluna/ main label,inner front right,1,20k/20k fully taped,none,none
39,size label (sample size l),soluna/ size label,center back ,1,"xs, s, m, l, xl",none,none
40,hang tags,supplier/ reference number,location,amount,silt,black,walnut
41,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none
42,pant fit hang tag,soluna/ pant fit hang tag,left side hand pocket zipper,1,pant fit hang tag,none,none
43,care and content labels,supplier/ reference number,location,amount,silt,black,walnut
44,address label,factory sourced,lining left side seam,1,address label,none,none
45,content label,factory sourced,lining left side seam,1,content label,none,none
46,washing label,factory sourced,lining left side seam,1,washing label,none,none
