,description,item,ref,content,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9
1,all shell is same fabric,overdye denim 3l 5k/5k lamination+overdye+ w/r $10.35 + bonded to black jersey,solis -l21081,84.5% cotton/ 13.5 % poly/ 2% spandex,raw blue denim,brown overdye denim,none,none,none,none
2,insulation,item,supplier/ ref number,content,raw blue denim,brown overdye denim,colorway 3,colorway 4,colorway 5,colorway 6
3,shell,none,none,none,no,no,none,none,none,none
4,seam tape,item,supplier/ ref number,content,raw blue denim,brown overdye denim,colorway 3,colorway 4,colorway 5,colorway 6
5,fully taped,width...seam tape,sealon,none,yes,yes,none,none,none,none
6,lining,item,supplier/ ref number,content,raw blue denim,brown overdye denim,colorway 3,colorway 4,colorway 5,colorway 6
7,hand pocket lining,120g brushed tricot,please sorce,100% poly,black,black,none,none,none,none
