,description,item,ref,content,colorway/4,colorway/5,colorway/6
1,a,wax fabric pa07001-2lc 15k/15k 4.68,none,none,none,none,none
2,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
3,"60g ""cs"" polyfill all over",none,polyfill,none,"60g ""cs"" polyfill all over",none,none
4,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
5,fully taped,width...seam tape,sealon,none,fully taped,none,none
6,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
7,"hood,  sleeves, waist and top entry pocket bag",solid 210d,solis / ref number,none,none,none,none
8,front and back panels,printed 210t,solis / ref number,none,none,none,none
9,lower body & powder skirt ,solid coated 210d,solis / ref number,none,none,none,none
10,chin,brushed tricot,solis / ref number,none,none,none,none
11,goggle pocket & underam vents,regular mesh,solis / ref number,none,none,none,none
12,sleeve gaiter,stretch lycra,solis / ref number,none,none,none,none
