,description,ref,location,content,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8
1,oxford,"solis /  oxford l2-581, 10k/10k, c6+ dwr",a,none,port,military,bone,black,vintage camo broken twill
2,broken twill,"solis / wl248 broken twill / 10k/10k, c6+ dwr",b,none,port,military,floral print broken twill,black,vintage camo broken twill
3,insulation,supplier/ reference number,location ,content,port,military,bone/floral print,black,vintage camo broken twill
4,polyfill insulation ,pinneco mantle 40g,all over,100% polyester,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g
5,seam tape,supplier/ reference number,location ,content,port,military,bone/floral print,black,vintage camo broken twill
6,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped,critically seam taped,critically seam taped
7,lining,supplier/ reference number,location ,content,port,military,bone/floral print,black,vintage camo broken twill
8,printed satin,solis/ pr258 womens print,hood,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,x
9,printed satin,solis/ pr258 womens print,center back ,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,x
10,solid satin,solis/ pr258 solid black satin,hood,100% polyester,x,x,x,x,solis/ pr258 solid black satin
11,solid satin,solis/ pr258 solid black satin,center back ,100% polyester,x,x,x,x,solis/ pr258 solid black satin
12,solid satin,solis/ pr258 solid black satin,main body,100% polyester,black,black,black,black,black
13,solid 210t ,solis/ sonp006-1 ,sleeves,100% nylon,black,black,black,black,black
14,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black,black,black,black,black
15,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% polyester,black,black,black,black,black
16,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,black,black,black,black,black
17,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black,black
18,regular mesh,1606b02 (als-16038),underarm vents,100% polyester,black,black,black,black,black
19,regular mesh ,1606b02 (als-16038),goggle pocket,100% polyester,black,black,black,black,black
20,stretch lycra,supplier / ref code,sleeve gaiters,content,black,black,black,black,black
