MATERIAL_ID,0,1,2,3,4,5,7
6,INSULATION:,,NON INSULATED,,,TARGET FOB:,0
9, #5 COIL ZIPPER,YKK / 5 DALH 1-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK,,
12,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT,1,COLOR,,
19,8MM METAL EYELET,LUK'S / ET04,HOOD ADJUST,2,COLOR,,
20,CORD LOCK,,HOOD ADJUST,1,COLOR,,
21,BEAD,,HOOD ADJUST,1,COLOR,,
22,15MM SNAP ,LUK'S / 404,SIDE ENTRY,8,COLOR,,
25,SHOCKCORD,XXX,HOOD,1,COLOR,,
34,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,,
35,BARTACKS,,100/2,,MATCH TO SHELL,,
38,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1,,,
42,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,,,
47,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
48,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
49,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
