MATERIAL_ID,0,1,2,3,4,5,7
6,,INSULATION: ,,"40G ""CS"" POLYFILL",,TARGET FOB: ,36
11,SHELL,COTTON TOUCH SONP020-CC01-M $3.95,,,SOIL,BLACK,
14,"40G ""CS"" POLYFILL BODY AND SLEEVES",,,,"40G ""CS"" POLYFILL BODY AND SLEEVES","40G ""CS"" POLYFILL BODY AND SLEEVES",
15,LIGHTLY INSULATE COLLAR,,,,LIGHTLY INSULATE COLLAR,LIGHTLY INSULATE COLLAR,
21,BODY,SOTY003 WITH BRUSH DWR ,,,SOIL / BLACK,SOIL / BLACK,
22,SLEEVES & HAND POCKET BAGS,SOLID 210T,SOLIS / REF NUMBER,,BLACK,BLACK,
