MATERIAL_ID,0,1,2,3,4,5
6,INSULATION:,,100G PINNECO CORE ,,,TARGET FOB:
10,,"Achievetex, HE066-R",S,100% RECYCLED POLYESTER,COLOR,
13,SYNTHETIC DOWN,PINNECO CORE 100G,ALL OVER,100% POLYESTER,100G,
19,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% NYLON,COLOR,
20,SOLID 210T ,SOLIS / SONP006-1,MAIN BODY,100% NYLON,COLOR,
21,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,COLOR,
22,SOLID 210T ,SOLIS / SONP006-1,POCKET BAGS,100% NYLON,COLOR,
