,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7,8
0,13,other,CENTER FRONT,L1 SNAP ON METAL ZIPPER PULL,SHENZHEN GUAN HONG METAL ZIPPER CO.  / L1-2016-TRIM-009 ,1,PSEUDO ANTI SILVER ,PSEUDO ANTI SILVER ,PSEUDO ANTI SILVER ,PSEUDO ANTI SILVER ,
1,14,other,HAND POCKETS, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1 PER SIDE = 2,SHELL FABRIC MATCHING,SHELL FABRIC MATCHING,SHELL FABRIC MATCHING,SHELL FABRIC MATCHING,
2,15,other,INSIDE POCKET, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1,SHELL FABRIC MATCHING,SHELL FABRIC MATCHING,SHELL FABRIC MATCHING,SHELL FABRIC MATCHING,
3,18,other,FRONT LEFT SLEEVE,L1 SMALL EMBROIDERY,SOLUNA / L1-2016-026,1,DTM,DTM,DTM,DTM,
4,20,other,LOWER BODY,L1 SNAP,LUKS / L1-2016-TRIM-002,2,PSEUDO ANTI SILVER/BLACK,PSEUDO ANTI SILVER/BLACK,PSEUDO ANTI SILVER/BLACK,PSEUDO ANTI SILVER/BLACK,
5,21,other,LEFT CHEST,L1 FAUX LEATHER TRIANGLE PATCH,YIQING SHOE FACTORY / L1-2017-TRIM-102,1,BLACK,BLACK,BLACK,BLACK,
6,24,other,CF POWDER SKIRT CLOSURE,14 MM PLASTIC SNAP 24L METAL SNAP,DURAFLEX / 1414,"4 MALE, 2 FEMALE",MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,
7,25,other,POW SKIRT: JACKET TO PANT CONNECTION ON POWDERSKIRT HEM,14 MM PLASTIC SNAP 24L METAL SNAP,DURAFLEX / 1414,3 SETS,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,
8,26,other,"""SNAP AWAY POWDER SKIRT"" SNAP POWDER SKIRT TO FRONT FACING WHEN NOT IN USE",14 MM PLASTIC SNAP 24L METAL SNAP,DURAFLEX / 1414,"1 MALE, 1 FEMALE",MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,
9,29,other,HEM HOOD CORD LOCK,CORD LOCK,KNK / SP-177,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK,
10,30,other,HEM CORD LOCK TIP,CORD TIP BEAD,KNK / CS-074 ZP20,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK,
11,33,other,HEM ADJUST CORD EXIT,SMALL: GROMMET  8mm diameter,PLEASE SORCE,2 PER SIDE = 4,PSEUDO ANTI SILVER ,PSEUDO ANTI SILVER ,PSEUDO ANTI SILVER ,PSEUDO ANTI SILVER ,
12,36,other,HEM ,3mm STRETCH SHOCKCORD,SUPPLER / REF NUBER,,BLACK,BLACK,BLACK,BLACK,
13,37,other,HOOD,8mm ROUND WOVEN DRAWCORD,SUNSUN / SV160218-1 A,,BLACK,19-4006 TPX BLACK,16-0906 TPX SAND,18-0950TPX  HARVEST,
14,40,other,KEYCLIP LOOP RIGHT HAND POCKET,"1/4"" FLAT X 1 3/4"" LOOP",SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
15,41,other,HEM CORD LOCK TIE DOWNS,"3/8"" FLAT WEBBING LOOP",SUPPLER / REF NUBER,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK,
16,42,other,RIGHT HAND POCKET,PLASTIC KEYCLIP ,SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
17,43,other,JACKET TO PANT CONNECTION CENTER BACK ,"3/4"" X 1"" 1"" X 1"" FINISHED ",SUPPLER / REF NUBER,TAB BEHIND EACH SNAP = 2,BLACK,BLACK,BLACK,BLACK,
18,44,other,JACKET TO PANT CONNECTION AT SIDE TABS,"3/4"" X  3 1/2"" 3 1/4"" FLAT WEBBING (FINISHED LENGTH)",SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
19,45,other,INNER POCKET TAB,"3/4""",SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
20,48,other,POWDER SKIRT GRIPPER ELASTIC,25mm,SUPPLER / REF NUBER,1,BLACK/GREY,BLACK/GREY,BLACK/GREY,BLACK/GREY,
21,49,other,JACKET TO PANT CONNECTION CENTER BACK TAB,"FLAT ELASTIC TAPE 3/4"" x 4 1/4"" 1"" X 4""",SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
22,50,other,GOGGLE POCKET,ELASTINE BINDING,SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
23,51,other,LINING MEDIA POCKET CABLE GUIDE,"1/4"" FLAT ELASTIC",SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
24,52,other,ENCASED IN BACK OF SLEEVE HEM,,SUPPLER / REF NUBER,1,STOCK,STOCK,STOCK,STOCK,
25,55,other,CUFF ,2.5cm X 9cm,PAIHO / Loop#1057,1 LOOP TAB,MATCHING,MATCHING,MATCHING,MATCHING,ROUND EDGES
26,56,other,CUFF TAB,2.5cm X 6.5cm,PAIHO / HookETN7,1 HOOK TAB,MATCHING,MATCHING,MATCHING,MATCHING,
27,57,other,CF PLACKET,"1/2"" X 3"" ",PAIHO / HookETN7 / Loop#1057,2 SETS,MATCHING,MATCHING,MATCHING,MATCHING,
28,58,other,HAND & CHEST POCKET FLAPS,"1/2"" X 2"" ",PAIHO / HookETN7 / Loop#1057,2 SETS  PER POCKET FLAP,MATCHING,MATCHING,MATCHING,MATCHING,
29,59,other,MEDIA POCKET,"1/2"" X 3""",PAIHO / HookETN7 / Loop#1057,2 PIECES,MATCHING,MATCHING,MATCHING,MATCHING,
30,65,other,SLEEVE GAITER COVER STITCH,MUST BE STRETCH THREAD,,,MATCHING,MATCHING,MATCHING,MATCHING,
31,68,other,LEFT HAND POCKET ZIPPER HEAD,L1 HANG TAG,,1,L1 HANG TAG,,,,
32,69,label,LINING CB FACING,WP BREATH / SIZE LABEL / RN CA / MADE IN ___,,1,,,,,
33,70,label,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL,,,,
34,71,label,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL,,,,
35,72,label,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL,,,,
36,73,other,FRONT LEFT BELT LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE,,,,
