,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
0,6,insulation,INSULATION:,,150G PINNECO CORE,,,TARGET FOB:,,0.0
1,9,zipper, #5 MATTE WATER RESISTANT REVERSE COIL,YKK / 1-WAY SEMI AUTO LOCKING WITH 1 L1 CUSTOM PULL,CENTER FRONT,1,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: MATTE BLACK,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: MATTE BLACK,SLIDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: MATTE BLACK,
2,10,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,CHEST POCKET HORIZONTAL,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,
3,11,zipper, #5 COIL ZIPPER,"NON YKK / 2-WAY CLOSED END TOP, OPEN END BOTTOM ZIP OUT TO CLOSE. DADHR DIE CAST WIRE NON LOCKING",RIGHT SIDE ENTRY,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,
4,12,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,LEFT UNDERARM VENT,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,
5,13,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,
6,16,other,"L1-2018-TRIM-017
L1 Zipper Pull",YKK,CENTER FRONT,1,X6 BLACK OXIDES,X6 BLACK OXIDES,X6 BLACK OXIDES,
7,17,other,L1-2018-TRIM-018 / Non branded zipper pull Faux Leather,PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,CHEST POCKET (1) HAND POCKETS (2),3,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,
8,18,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,RIGHT SIDE ENTRY,2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
9,19,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,LEFT UNDERARM VENT,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
