,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
0,6,fabric,INSULATION:,,40G PINNECO MANTLE ,,,TARGET FOB:,,
1,10,fabric,OTTOMAN,"SOLIS / SOTP080-2L32-I OTTOMAN, 10K 10K, C6 + DWR",A,,BLACK,BONE,GUNMETAL,X
2,11,fabric,OTTOMAN,"SOLIS / SOTP080-2L32-I OTTOMAN, 10K 10K, C6 + DWR",B,,RUST,BLACK,INK,X
3,12,fabric,BROKEN TWILL,"SOLIS / WL248 BROKEN TWILL, 10K 10K, C6 + DWR",A,,X,X,X,VINTAGE CAMO BROKEN TWILL
4,13,fabric,BROKEN TWILL,"SOLIS / WL248 BROKEN TWILL, 10K 10K, C6 + DWR",B,,X,X,X,VINTAGE CAMO BROKEN TWILL
5,16,insulation,POLYFILL INSULATION ,PINNECO MANTLE 40G ,ALL OVER,100% POLYESTER,PINNECO MANTLE 40G ,PINNECO MANTLE 40G ,PINNECO MANTLE 40G ,PINNECO MANTLE 40G 
6,22,fabric,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% NYLON,BLACK,BLACK,BLACK,BLACK
7,23,fabric,SOLID 210T ,SOLIS / SONP006-1,MAIN BODY,100% NYLON,BLACK,BLACK,BLACK,BLACK
8,24,fabric,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,BLACK,BLACK,BLACK,BLACK
9,25,fabric,SOLID 210T ,SOLIS / SONP006-1,POCKET BAGS OTHER THAN HAND,100% NYLON,BLACK,BLACK,BLACK,BLACK
10,26,fabric,SOLID COATED 210T,SOLIS / SONP006-PU03,LOWER BODY & POWDER SKIRT,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
11,27,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
12,28,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
13,29,other,REGULAR MESH,SUPPLIER / REF CODE,UNDERARM VENTS,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
14,30,other,REGULAR MESH ,SUPPLIER / REF CODE,GOGGLE POCKET,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
15,31,other,STRETCH LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,BLACK,BLACK,BLACK,BLACK
