,MATERIAL_ID,CATEGORY,0,1,2,3,4
0,9,zipper,#5 AquaGuard Coil Zipper with matte transparent film (5CNT10),YKK / DALH/DAG 2-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK
1,10,zipper,#5 COIL ZIPPER,NON YKK / DFW SHORT 1-WAY NON LOCKING,CHEST POCKET HORIZONTAL,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK
2,11,zipper,#5 COIL ZIPPER,NON YKK / DFW SHORT 1-WAY NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK
3,14,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT,1,COLOR
4,15,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CHEST POCKET,1,COLOR
5,16,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS VERTICAL,1 PER SIDE = 2,COLOR
6,19,other,"Nitro trim number: N18-TRIM-009
Nitro Speech Bubble 
Heat Transfer 3cm x 3cm",SEALON,"LEFT SLEEVE HEM, 3"" UP FROM CUFF, CENTERED OVER SLEEVE FOLD",1,COLOR
7,20,other,"Nitro trim number: N18-TRIM-010
NITRO TEXT
REFLECTIVE HEAT TRANSFER",SEALON,"BACK RIGHT: 4 1/2â to the right 
of CB, inline with 
underarm.",1,COLOR
8,25,other,8MM METAL EYELET,LUK'S / ET04,HOOD ADJUST,2 PER SIDE = 4,COLOR
9,26,other,CORD LOCK,,HOOD ADJUST,1 PER SIDE = 2,COLOR
10,27,other,BEAD,,HOOD ADJUST,1 PER SIDE = 2,COLOR
11,28,other,8MM METAL EYELET,LUK'S / ET04,HEM ADJUST (RIGHT SIDE),2,COLOR
12,29,other,CORD LOCK,,HEM ADJUST (RIGHT SIDE),1,COLOR
13,30,other,BEAD,,HEM ADJUST (RIGHT SIDE),1,COLOR
14,31,other,KEYCLIP,,RIGHT HAND POCKET,1,COLOR
15,34,other,"GROSGRAIN 1/4""",,HOOD ADJUST,1 PER SIDE = 2,COLOR
16,35,other,SHOCKCORD,,HOOD ADJUST,1,COLOR
17,36,other,"GROSGRAIN 3/8""",,HEM ADJUST (RIGHT SIDE),1,COLOR
18,37,other,SHOCKCORD,,HEM ADJUST (RIGHT SIDE),1,COLOR
19,38,other,"GROSGRAIN 1/4""",,ATTACH KEYCLIP RIGHT HAND POCKET,1,COLOR
20,41,interfacing,BONDING FILM,,HOOD BRIM,1,
21,42,interfacing,BONDING FILM,,CUFF TABS,2,
22,45,other,"1"" X 3 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL
23,46,other,"1"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL
24,50,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL
25,51,other,BARTACKS,,100/2,,MATCH TO SHELL
26,54,label,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1,
27,58,other,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,
28,63,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
29,64,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
30,65,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,
