,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7,8,9
0,16,fabric,FABRICS & LININGS,,,,,,,,,
1,17,insulation,A,MAIN Fabric,94% SPUN POLYESTER 6%SPANDEX SINGLE JERSEY + WICKING               R21103023,Main Body,,BLACK,MOOSE,PIZZA,MENS FISH,AB18KNJ1_002
2,18,fabric,B,Binding,94% SPUN POLYESTER 6%SPANDEX SINGLE JERSEY + WICKING                      R21103023,Hood opening,,BLACK,MOOSE,PIZZA,MENS FISH,AB18KNJ1_002
3,19,other,C,Thread,,flatlock seams UPPER BODY,,BLACK,BLACK,BLACK,EXCALIBUR 18-3905,AB18KNJ1_002
4,20,other,D,Thread,,flatlock seams LOWER BODY,,BLACK,RED 19-1763TPX,BLACK,OLIVE 18-0420TPX,AB18KNJ1_002
5,22,zipper,ZIPPERS,,,,,,,,,AB18KNJ1_002
6,23,zipper,AA,Zipper,YKK  No.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider DADR4 ,C.F. zipper,1.0,BLACK,RED 519,BLACK,DK GREY 155,AB18KNJ1_002
7,24,zipper,BB,Zipper,YKK  No.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider DADR4 ,waistband zipper,1.0,BLACK,RED 519,BLACK,DK GREY 155,AB18KNJ1_002
8,27,label,CC,Main Label,ABTR_538V Transfer Label 100% polyester,"inside c.b. neck, 3  cm below neck seam",1.0,WHITE,WHITE,BLACK,WHITE,AB18KNJ1_002
9,28,label,DD,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from waistband seam",1.0,BLACK,BLACK,BLACK,BLACK,AB18KNJ1_002
10,29,other,EE,Embroidery,Ninja Star ABEM_015A 2-color ,"at wearer's left chest, sewn directly to chest with SNS edge stitch, see palcement page for detail  (A. Star Color, B. Pill color)",1.0,A) Metallic Silver ST101                      B) Black,A) BLACK                        B) RED 10010,,A) DK GREY 40038      B) BURGANDY F194,AB18KNJ1_002
11,30,other,FF,Embroidery,ABEM_310 Pizza Ninja Star,"at wearer's left chest, sewn directly to chest with SNS edge stitch",1.0,,,YELLOW/RED/BLACK/BROWN,,AB18KNJ1_002
12,33,interfacing,GG,Hangtag,,C.F. zipper. Use white color webbing rope to attach. Supplied by SML.,1.0,TBD,TBD,TBD,,AB18KNJ1_002
13,34,other,HH,Size sticker,clear size indication zipper,2 pcs placed on each designated white square on side of packing box.,2.0,CLEAR,CLEAR,CLEAR,,AB18KNJ1_002
14,35,other,II,UPC sticker,Sticker width 3.5 cm,"At bottom side of Ninja Suit Packaging Box.  Place in looker's lower right corner, 2 cm from each edge.  UPC sticker to be provided by factory for 12/13.",1.0,WHITE,WHITE,WHITE,,AB18KNJ1_002
15,36,interfacing,JJ,NINJA PACKING BOX,SEE SAMPLE,GARMENT FOLDED NEATLY AND PLACED IN PACKING BOX.  Will advise ordering information when available.,1.0,BLACK,BLACK,BLACK,,AB18KNJ1_002
16,41,zipper,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down",,,,,,,
17,42,other,4,BAR TACT:,"At stress points, bottom of C.F. zipper and at waistband zipper ends",,,,,,,
18,43,other,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,,
19,47,other,9,NINJA BOX:,1 garment per Ninja Packing Box; UPC sticker on outside packing box,,,,,,,
