,MATERIAL_ID,CATEGORY,0,1,2,3,4,5
0,6,insulation,INSULATION:,,QUILTED YOKE AND ELBOW PATCHES 40G PINNECO CORE,,,TARGET FOB:
1,12,insulation,,"RIBBING: LEADER COLLAR, 
1X1 POLYESTER RIB KNIT ",T1 (COLLAR),,COLOR,
2,15,insulation,,PINNECO CORE,YOKE AND ELBOW PATCHES,,40G,
3,18,other,NON TAPED,,,,,
4,21,fabric,SOLID 210T,SOLIS / SONP006-1,POCKET BAGS?,100% NYLON,COLOR,
