,MATERIAL_ID,CATEGORY,0,1,2,3,4
0,9,zipper,CENTER FRONT,#5 VISLON,YKK ZA/DAG SNAP ON // 2-WAY SEPERATING AUTO LOCK ,1,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / DTM TAPE
1,10,zipper,WAIST POCKET,#5 METAL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK ,1,PSEUDO ANTI SILVER SLIDER AND TEETH / DTM TAPE
2,11,zipper,UNDERARMS,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK (ZIP UP TO CLOSE) ,1 PER SIDE = 2,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / DTM TAPE
3,12,zipper,SIDE ENTRY HAND POCKETS,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK ,1 PER SIDE = 2,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / DTM TAPE
4,13,zipper,BACK HEM ZIP,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK ,1,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / DTM TAPE
5,14,zipper,INSIDE POCKET,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK ,1,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / BLACK TAPE
6,17,other,CENTER FRONT,L1 SNAP ON METAL ZIPPER PULL,LUKS / L1-2016-TRIM-009 ,1,PSEUDO ANTI SILVER 
7,18,other,UNDERARMS, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1 PER SIDE = 2,SHELL FABRIC MATCHING
8,19,other,SIDE ENTRY HAND POCKETS, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1 PER SIDE = 2,SHELL FABRIC MATCHING
9,20,other,INSIDE POCKET, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1,SHELL FABRIC MATCHING
10,23,other,FRONT LEFT SLEEVE,L1 SMALL EMBROIDERY,SOLUNA / L1-2016-026,1,DTM
11,25,other,"CF, HAND AND CHEST POCKETS",L1 HEM WRAP,LUKS / L1-2016-TRIM-013,1,BROWN 
12,26,other,RIGHT HAND POCKET ,L1 NEW PATCH,LUKS / NEW TRIM ,1,BROWN
13,29,other,CF PLACKET & HAND POCKETS,24L METAL SNAP,PLEASE SORCE,7 SETS,PSEUDO ANTI SILVER
14,30,other,CF POWDER SKIRT CLOSURE,14 MM PLASTIC SNAP,DURAFLEX / 1414,"4 MALE, 2 FEMALE",BLACK
15,31,other,POW SKIRT: JACKET TO PANT CONNECTION ON POWDERSKIRT HEM,14 MM PLASTIC SNAP,DURAFLEX / 1414,3 SETS,BLACK
16,32,other,"""SNAP AWAY POWDER SKIRT"" SNAP POWDER SKIRT TO FRONT FACING WHEN NOT IN USE",14 MM PLASTIC SNAP,DURAFLEX / 1414,"1 MALE, 1 FEMALE",BLACK
17,35,other,BACK HOOD CORD LOCK,CORD LOCK,KNK / SP-177,1 PER SIDE = 2,TBD
18,36,other,BACK HOOD CORD LOCK TIP,CORD TIP,KNK / CS-074,1 PER SIDE = 2,TBD
19,37,other,FRONT HOOD CORD LOCKS (HIDDEN ON INSIDE FACING),CORD LOCK,KNK / SP-204,1 PER SIDE = 2,TBD
20,38,other,HEM CORD LOCKS,CORD LOCK,KNK /  SP-058,1 PER SIDE = 2,TBD
21,39,other,POCKET CORD TIP,CORD LOCK,KNK / CS-1,1 PER SIDE = 2,TBD
22,42,other,BACK HOOD CORD EXIT,GROMMET 11.5 mm (large),PLEASE SORCE,1 PER SIDE = 2,PSEUDO ANTI SILVER 
23,43,other,FRONT HOOD ADJUST CORD EXIT,GROMMET  8mm diameter,PLEASE SORCE,2 PER SIDE = 4,PSEUDO ANTI SILVER 
24,44,other,HEM ADJUST CORD EXIT,GROMMET  8mm diameter,PLEASE SORCE,2 PER SIDE = 4,PSEUDO ANTI SILVER 
25,45,other,HEM ADJUST CORD EXIT IN LINING POCKET,GROMMET  8mm diameter,PLEASE SORCE,1 PER SIDE = 2,PSEUDO ANTI SILVER 
26,48,other,HOOD & HEM,3mm STRETCH SHOCKCORD,SUPPLER / REF NUBER,,
