,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
19,33,other,CORD LOCK: SMALL CORD LOCK WITH TIE DOWN,SUN SUN/ SV160824-2A,FRONT HOOD ADJUST,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,MATTE BLACK
20,34,other,CORD LOCK,SV160819-4A,HEM ADJUST EXPOSED AT LINING,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,MATTE BLACK
21,35,other,BEAD,SV160725-1A,HEM ADJUST,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,MATTE BLACK
22,36,other,SHOCKCORD TIP,SUNSUN/ SV170208-3A,FRONT HOOD SHOCKCORD ENDS,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,MATTE BLACK
23,37,other,KEYCLIP,AS PRODUCTION,RIGHT HAND POCKET,1,BLACK,BLACK,BLACK,BLACK
24,40,other,"GROSGRAIN 1/4""",,ATTACH FRONT HOOD CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK
25,41,other,"GROSGRAIN 3/8""",,ATTACH HEM CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK
26,42,other,"GROSGRAIN 1/4""",,ATTACH KEYCLIP RIGHT HAND POCKET ,1,BLACK,BLACK,BLACK,BLACK
27,43,other,"GROSGRAIN 3/4"" X  3 1/2"" FLAT WEBBING (FINISHED LENGTH)",,POWDER SKIRT - SIDE TABS JACKET TO PANT CONNECTION ,2,BLACK,BLACK,BLACK,BLACK
28,44,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK ON TAB,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
29,45,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK UNDER SNAP ON GRIPPER ELASTIC,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
30,46,other,"SHELL FABRIC TAB 3/4"" X  1"" ",,JACKET TO PANT CONNECTION AT SIDE TABS UNDER SNAPS,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
31,47,other,"ELASTIC 1"" X 4""",,POWDER SKIRT MIDDLE TAB - JACKET TO PANT CONNECTION ,1,BLACK,BLACK,BLACK,BLACK
32,48,insulation,ELASTIC ,,BACK OF SLEEVE CUFFS,1,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
33,49,other,"ELASTIC 1/4"" ",,CABLE GUIDE,1,BLACK,BLACK,BLACK,BLACK
34,50,other,GRIPPER ELASTIC 25mm NON LOGO,MTT0022,POWDER SKIRT HEM,1,BLACK,BLACK,BLACK,BLACK
35,51,other,ELASTINE BINDING,,GOGGLE POCKET BINDING,1,BLACK,BLACK,BLACK,BLACK
36,52,other,ELASTINE KISSING WELTS,,MEDIA POCKET CORD EXITS,2,BLACK,BLACK,BLACK,BLACK
37,56,interfacing,BONDING FILM,,HOOD BRIM,1,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
38,57,interfacing,BONDING FILM,,CHIN VENTS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
39,58,interfacing,BONDING FILM,,CHEST POCKET OPENINGS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
40,59,interfacing,BONDING FILM,,HAND POCKET FLAPS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
41,60,interfacing,BONDING FILM,,CUFF TABS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
42,61,interfacing,BONDING FILM,,SLEEVE POCKET OPENING,1,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
43,64,other,"1"" X 3 3/4"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
44,65,other,"1"" X 2 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
45,68,other,SEAMS,10-12 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
46,69,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
47,70,other,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
48,71,other,SLEEVE GAITER COVER STITCH,MUST BE STRETCH THREAD,,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
49,74,other,20K/20K FULLY TAPED,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,20K/20K FULLY TAPED,20K/20K FULLY TAPED,20K/20K FULLY TAPED,
50,78,other,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,MENS JACKET HANG TAG,MENS JACKET HANG TAG,
51,82,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL,ADDRESS LABEL,
52,83,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL,CONTENT LABEL,
53,84,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL,WASHING LABEL,
