,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
0,6,insulation,INSULATION:,,"40G PINNECO MANTLE HOOD & SLEEVES, 60G BODY",,,TARGET FOB:,,0
1,10,other, #5 METAL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,CHEST POCKET VERTICAL,1,SLIDER/PULL/ TEETH COLOR: H6 ANTIQUE SILVER/ ZIPPER TAPE COLOR: 19-1540 TCX RUST,SLIDER/PULL/ TEETH COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: 19-4010 TCX INK,SLIDER/PULL/ TEETH COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: 19-4006 TCX BLACK,SLIDER/PULL/ TEETH COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: 19-4006 TCX BLACK
2,11,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,UNDERARM VENTS,1 PER SIDE = 2,SLIDER/PULL COLOR: H6 ANTIQUE SILVER/ ZIPPER TAPE / TEETH COLOR: BLACK,SLIDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE / TEETH COLOR: BLACK,SLIDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE / TEETH COLOR: BLACK,SLIDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE / TEETH COLOR: BLACK
3,12,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SLIDER/PULL COLOR: H6 ANTIQUE SILVER/ ZIPPER TAPE / TEETH COLOR: BLACK,SLIDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE / TEETH COLOR: BLACK,SLIDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE / TEETH COLOR: BLACK,SLIDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE / TEETH COLOR: BLACK
4,13,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,LINING POCKET VERTICAL,1,SILDER/PULL COLOR: H6 ANTIQUE SILVER/ ZIPPER TAPE / TEETH COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK
5,16,zipper,"L1-2018-TRIM-017
L1 Zipper Pull",YKK,CENTER FRONT,TOP AND BOTTOM PULL= 2,YKK H6 ANTIQUE SILVER,YKK X ANTIQUE COPPER,YKK X ANTIQUE COPPER,YKK X ANTIQUE COPPER
6,17,other,L1-2018-TRIM-018 / Non branded zipper pull Faux Leather ,PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,CHEST POCKET (1) HAND POCKETS (2),3,BROWN FAUX LEATHER,BROWN FAUX LEATHER,BROWN FAUX LEATHER,BROWN FAUX LEATHER
7,18,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,UNDERARM VENTS ,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
8,19,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,LINING POCKET VERTICAL,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
9,22,other,"L1-2018-TRIM-010
Faux Leather backed Snap",LUKS,FRONT PLACKET CHIN & HEM (WORKING),3 SETS,SAS54 PSEUDO ANTI SILVER/BROWN FAUX LEATHER,DOXCP DULL OXIDIZED COPPER/ BROWN FAUX LEATHER,DOXCP DULL OXIDIZED COPPER/ BROWN FAUX LEATHER,DOXCP DULL OXIDIZED COPPER/ BROWN FAUX LEATHER
