,MATERIAL_ID,CATEGORY,0,5,8,16,27,28,30,34,37,40,43,46
0,10,fabric,SHELL FABRICS,,,,,,,,,,,
1,11,fabric,SCK-464 ICE CAFÃ,SINGTEX,"shell fabric at front and back body, sleeves, collar, interior collar, rolled hem and cuffs",,1.0,,TBA,orange,neon lime,ocean,black,navy
2,14,other,contrast coverstitching,NS THREAD,NS thread,"armholes, side seams, back seams",,,,orange,neon lime,ocean,black,ocean
3,17,insulation,HT-14,TBA,reflectice heat transfer,upper CB centered,,1.0,TBA,reflective silver,reflective silver,reflective silver,reflective silver,reflective silver
4,20,label,FIVE12-W-INT-HT-L,TBA,main interior heat transfer label,interior cb neck          ,,1.0,TBA,x,x,x,x,x
5,21,label,TBA,PLEASE SOURCE,perforated care content label ,left side seam,,1.0,TBA,white,white,white,white,white
