,MATERIAL_ID,CATEGORY,0,1,2,3,4,5
0,9,zipper,CENTER FRONT,#5 COIL, ZA SNAP-ON TYPE (YKK) 1-WAY SEMI AUTO LOCK,1,ENAMEL DULL BLACK SLIDER / BLACK TAPE,ENAMEL DULL BLACK SLIDER / BLACK TAPE
1,10,zipper,INSIDE POCKET,#5 COIL,DADHR DIECAST WIRE (NON YKK) 1-WAY (NON LOCKING),1,ENAMEL DULL BLACK SLIDER / BLACK TAPE,ENAMEL DULL BLACK SLIDER / BLACK TAPE
2,13,other,CF,L1-2016-TRIM-009,TOP PULL ONLY,1,ENAMEL DULL BLACK,ENAMEL DULL BLACK
3,16,other,HEM DRAWCORD,8mm ROUND WOVEN DRAWCORD WITH CLEAR PLASTIC TIP,SUNSUN / SV160218-1 A,1,DARK SLATE,RAVEN
4,17,other,HEM GROMMETS,METAL GROMMET,,1 PER SIDE = 2,ENAMEL DULL BLACK,ENAMEL DULL BLACK
5,20,other,FRONT LEFT SLEEVE HEM,L1 EMBROIDERY SMALL,SOLUNA / L1-2016-026,1,DTM,DTM
6,21,other,CENTER FRONT & HAND POCKET WELTS,L1 METAL SNAP,LUKS / L1-2017-TRIM-001 L12017-TRIM-100,7,MATT BLACK FINISH,MATT BLACK FINISH
7,22,label,LEFT CHEST,SCREEN PRINT  (SEE PAGE 4 PDF),SUPPLIER / TRIM NUMBER,1,SCREEN PRINT  (SEE PAGE 4 PDF),SCREEN PRINT  (SEE PAGE 4 PDF)
8,23,label,BACK ,SCREEN PRINT  (SEE PAGE 5 PDF),SUPPLIER / TRIM NUMBER,1,SCREEN PRINT  (SEE PAGE 5 PDF),SCREEN PRINT  (SEE PAGE 5 PDF)
9,29,other,BARTACKS,,,,MATCHING,MATCHING
10,32,other,LINING CB LOCKER LOOP,L1 HANG TAG,L1 HANG TAG,1,L1 HANG TAG,
11,33,label,LINING CB FACING,WP/ BREATHABILITY // RN CA / MADE IN CHINA,WP/ BREATHABILITY // RN CA / MADE IN CHINA,1,WP/ BREATHABILITY // RN CA / MADE IN CHINA,
12,34,label,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL,
13,35,label,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL,
14,36,label,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL,
15,37,other,LINING LOCKET LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE,
