,description,ref,location,content,colorway/4,colorway/5,colorway/6,colorway/7
1,micro herringbone,lucky / ltc3170017-r5-h311 micro hb ,a,none,miltary,walnut,port,black
2,oxford,"solis / oxford l2-581, 10k/10k, c6+dwr",b,none,miltary,walnut,port,black
3,insulation,supplier/ reference number,location ,content,military,walnut,port,black
4,polyfill insulation ,pinneco mantle 40g,all over,100% polyester,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g
5,seam tape,supplier/ reference number,location ,content,military,walnut,port,black
6,seam tape,tsgs ,critically taped,none,critically taped,critically taped,critically taped,critically taped
7,lining,supplier/ reference number,location ,content,military,walnut,port,black
8,printed satin,solis/ pr258 womens print,hood,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print
9,printed satin,solis/ pr258 womens print,main body,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print
10,solid 210t ,solis/ sonp006-1 ,sleeves,100% nylon,black,black,black,black
11,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black,black,black,black
12,solid coated 210t,solis/ sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,black
13,brushed tricot,supplier / ref code,side entry hand pocket bags,100% polyester,black,black,black,black
14,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black
15,power stretch mesh ,supplier / ref code,underarm vents,100% polyester,black,black,black,black
16,power stretch mesh ,supplier / ref code,goggle pocket,100% polyester,black,black,black,black
17,stretch lycra,supplier / ref code,sleeve gaiters,content,black,black,black,black
