,description,item,ref,content,colorway/4,colorway/5
1,body,"cotton touch nylon 5k 5k coating + c6 w/r, $3.95 5k/5k",solis/ sonp020-cc01-m,100% nylon,dark slate,raven
2,cuff ribbing,1 x 1 polyester  ribbing ,none,none,slate/ dark slate 19-4220 tpx,raven 19-0000 tpx use 19-4006 tpx black
3,insulation,item,supplier/ ref number,content,dark slate,raven
4,"40g ""cs"" polyfill all over",none,none,none,"40g ""cs"" polyfill all over","40g ""cs"" polyfill all over"
5,seam tape,item,supplier/ ref number,content,dark slate,raven
6,critically taped,none,tsgs,none,critically taped,critically taped
7,lining,item,supplier/ ref number,content,dark slate,raven
8,body,solid quilted satin,solis / ref number,none,pearl,pearl
9,"sleeves, hand pocket lining",solid satin,solis / ref number,none,pearl,pearl
