,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
0,6,insulation,INSULATION:,,PINNECO MANTLE 80G ALL OVER,,,TARGET FOB:,,0.0
1,9,other, #8 METAL ZIPPER,YKK / 2-WAY SEMI AUTO LOCKING WITH 2 L1 CUSTOM PULLS,CENTER FRONT,1,SLIDER/PULL/ TEETH COLOR: X ANTIQUE COPPER ZIPPER TAPE COLOR: 19-4006 TCX BLACK,SLIDER/PULL/ TEETH COLOR: X ANTIQUE COPPER ZIPPER TAPE COLOR: 19-0515 TCX MILITARY,SLIDER/PULL/ TEETH COLOR: X ANTIQUE COPPER ZIPPER TAPE COLOR: 18-0513 TCX WALNUT,
2,10,zipper, #5 METAL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,SLEEVE POCKET,1,SLIDER/PULL/ TEETH COLOR: X ANTIQUE COPPER ZIPPER TAPE COLOR: 19-4006 TCX BLACK,SLIDER/PULL/ TEETH COLOR: X ANTIQUE COPPER ZIPPER TAPE COLOR: 19-0515 TCX MILITARY,SLIDER/PULL/ TEETH COLOR: X ANTIQUE COPPER ZIPPER TAPE COLOR: 18-0513 TCX WALNUT,
3,11,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,UNDERARM VENTS,1 PER SIDE = 2,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,
4,12,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SLIDER/PULL COLOR: X ANTIQUE COPPER ZIPPER TAPE / TEETH COLOR: BLACK,SLIDER/PULL COLOR: X ANTIQUE COPPER ZIPPER TAPE / TEETH COLOR: BLACK,SLIDER/PULL COLOR: X ANTIQUE COPPER ZIPPER TAPE / TEETH COLOR: BLACK,
5,13,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,LINING POCKET VERTICAL,1,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE/ TEETH COLOR: BLACK,
6,16,other,"L1-2018-TRIM-017
L1 Zipper Pull. Graphic debossed 1mm 3.2 cm x 0.92 cm",YKK,CENTER FRONT,TOP AND BOTTOM PULL = 2,YKK X ANTIQUE COPPER,YKK X ANTIQUE COPPER,YKK X ANTIQUE COPPER,
7,17,other,"L1-2018-TRIM-018
Non branded zipper pull. Faux Leather",PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,SLEEVE POCKET (1) HAND POCKETS (2),3,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,
8,18,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,UNDERARM VENTS,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
9,19,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,LINING POCKET VERTICAL,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
10,22,other,"L1-2018-TRIM-007
Large black faux leather hem wrap",PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,LEFT HAND POCKET HEM,1,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,
11,23,other,"L1-2018-TRIM-002
Black Faux Leather patch",PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,FRONT RIGHT HEM,1,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,
12,24,other,"L1-2018-TRIM-024/  L1 EMBROIDERY SMALL
3cm x 2.77cm  ",SOLUNA,LEFT SLEEVE HEM,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
13,25,other,"L1-2018-TRIM-025 /
L1 EMBROIDERY LARGE
3.7cm x 3.4cm  ",SOLUNA,BACK RIGHT,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
14,28,other,15MM METAL SNAP,LUK'S / 404,FRONT PLACKET (HIDDEN AT CHIN),2,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,
15,29,other,15MM METAL SNAP,LUK'S / 404,FRONT PLACKET (HIDDEN AT HEM),1,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,
16,30,interfacing,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - FRONT CLOSURE,"2 FEMALE, 4 MALE",AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER,
17,31,interfacing,15MM METAL SNAP,LUK'S / 404,SNAP AWAY POWDER SKIRT - LINING FACING ,1 MALE 1 FEMALE,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER,
18,32,interfacing,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - JACKET TO PANT CONNECTION,3 SETS,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER,AL023 ALLOY (D) CAP / DOXCP OXIDIZED COPPER,
19,33,other,METAL EYELETS 8MM,LUK'S / ET04,HOOD CORD EXIT FRONT,2 PER SIDE = 4,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,
20,34,other,METAL EYELETS 8MM,LUK'S / ET04,HEM CORD EXIT,2 PER SIDE = 4,OXCP OXIDIZED COPPER,OXCP OXIDIZED COPPER,OXCP OXIDIZED COPPER,
21,35,other,CORD LOCK: SMALL CORD LOCK WITH TIE DOWN,SUN SUN/ SV160824-2A,FRONT HOOD ADJUST,1 PER SIDE = 2,19-4006 TCX BLACK, 19-0515 TCX MILITARY,18-0513 TCX WALNUT,
22,36,other,METAL SHOCKCORD TIP,SEE PHOTO,FRONT HOOD SHOCKCORD ENDS,1 PER SIDE = 2,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,DOXCP OXIDIZED COPPER,
23,37,other,KEYCLIP,AS LAST YEAR PRODUCTION,RIGHT HAND POCKET,1,BLACK,BLACK,BLACK,
24,40,other,"GROSGRAIN 1/4""",PLEASE SOURCE,HOOD CORD LOCKS,1 PER SIDE = 2,BLACK,BLACK,BLACK,
25,41,other,"GROSGRAIN 1/4""",XXX,ATTACH KEYCLIP RIGHT HAND POCKET ,1,BLACK,BLACK,BLACK,
26,42,other,GROSGRAIN,XXX,POWDER SKIRT - SIDE TABS JACKET TO PANT CONNECTION ,1,BLACK,BLACK,BLACK,
27,43,other,"GROSGRAIN 3/4"" X  3 1/2"" FLAT WEBBING (FINISHED LENGTH)",,POWDER SKIRT - SIDE TABS JACKET TO PANT CONNECTION ,2,BLACK,BLACK,BLACK,
28,44,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK ON TAB,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
29,45,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK UNDER SNAP ON GRIPPER ELASTIC,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
30,46,other,"SHELL FABRIC TAB 3/4"" X  1"" ",,JACKET TO PANT CONNECTION AT SIDE TABS UNDER SNAPS,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
31,47,other,"ELASTIC 1"" X 4""",,POWDER SKIRT MIDDLE TAB - JACKET TO PANT CONNECTION ,1,BLACK,BLACK,BLACK,
32,48,other,"ELASTIC 1/4"" ",,CABLE GUIDE,1,BLACK,BLACK,BLACK,
33,49,other,ELASTINE BINDING,XXX,GOGGLE POCKET BINDING,1,BLACK,BLACK,BLACK,
34,50,other,GRIPPER ELASTIC 25mm NON LOGO,MTT0022,POWDER SKIRT HEM,1,BLACK,BLACK,BLACK,
35,54,other," 1/2"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057 / HookETN7,CHIN,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
36,55,other," 1/2"" X 3 VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057 / HookETN7,CENTER FRONT PLACKET,4,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
37,56,other,"1"" X 3 3/4"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
38,57,other,"1"" X 2 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
39,61,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
40,62,other,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
41,63,other,SLEEVE GAITER COVER STITCH,MUST BE STRETCH THREAD,,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
42,66,other,10K/10K CRITICALLY TAPED,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,10K/10K CRITICALLY TAPED,10K/10K CRITICALLY TAPED,10K/10K CRITICALLY TAPED,
43,70,other,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,MENS JACKET HANG TAG,MENS JACKET HANG TAG,
44,74,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL,ADDRESS LABEL,
45,75,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL,CONTENT LABEL,
46,76,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL,WASHING LABEL,
