,MATERIAL_ID,CATEGORY,0,1,2,3,4,6
0,0,other,,L1 JACKET,,,,
1,9,zipper,CENTER FRONT,#5 VISLON,ZA SNAP ON (YKK),1-WAY (LOCKING),ZIPPER SLIDER: H3 PSUDO ANTI SILVER // TAPE & TEETH: BLACK,
2,10,zipper,CHEST LEFT,#5 METAL,DADHR DIECAST WIRE (NON YKK) ZIP UP,1-WAY (LOCKING),ZIPPER SLIDER & TEETH: H3 PSUDO ANTI SILVER // TAPE: DTM,
3,11,other,HAND POCKETS,VELCRO TO CLOSE,,,,
4,12,zipper,PIT ZIPS,#5 COIL,DADHR DIECAST WIRE (NON YKK) ZIP UP,1-WAY (LOCKING),ZIPPER SLIDER: H3 PSUDO ANTI SILVER // TAPE & TEETH: BLACK,
5,13,zipper,INSIDE POCKET,#5 COIL,DADHR DIECAST WIRE (NON YKK) ZIP UP,1-WAY (LOCKING),ZIPPER SLIDER: H3 PSUDO ANTI SILVER // TAPE & TEETH: BLACK,
6,16,other,CF,L1-2016-TRIM-009 ORDER FROM LUKS,TOP PULL ONLY,1,PSUDO ANTI SILVER ,
7,17,other,PIT ZIPS,11NT-045 SELF FABRIC PULL,,1 PER = 2,"BODY ""A"" ",
8,18,other,INSIDE POCKET,11NT-045 SELF FABRIC PULL,,1,"BODY ""A"" ",
9,21,other,HEM,KNK,SP-177,1 PER SIDE = 2,BLACK,
10,22,other,HEM CORD TIPS,KNK,CS-074,1 PER SIDE = 2,BLACK,
11,25,other,HEM,3MM STRETCH SHOCKCORD,,,BLACK,
12,28,other,HOOD,WIDE CORD AS ON SAMPLE,,,12-0105 TPX OFF WHITE,
13,31,other,LINING FACING CABLE GUIDE,"1/4"" FLAT",,,BLACK,
14,32,other,GOGGLE POCKET,ELASTINE BINDING,,,BLACK,
15,33,other,POW ,22mm FLAT GRIPPER ELASTIC,,,BLACK,
16,36,other,CF POW CLOSURE,24L ,METAL,LEFT SIDE = 2 FEMALE // RIGHT SIDE = 4 MALE,BLACK CAP/ PSUDO ANTI SILVER BASE,
17,37,other,POW SKIRT GRIPPER ELASTIC,24L ,METAL,3 FEMALE,BLACK CAP/ PSUDO ANTI SILVER BASE,
18,40,other,HOOD ,LARGE METAL EYELET,AS SAMPLE,1 PER SIDE = 2,PSUDO ANTI SILVER ,
19,41,other,HEM,SMALL EYELET,AS SAMPLE,2 PER SIDE =4,PSUDO ANTI SILVER,
20,44,other,HEM ATTACH CORD LOCKS,"1/4"" FLAT",STOCK,,BLACK,
21,45,other,POW SKIRT GRIPPER ELASTIC REINFORCE SNAPS,"1"" TAB",STOCK,,BLACK,
22,46,other,KEYCLIP,"1/4"" FLAT, 1 1/2"" LOOP",STOCK,1,BLACK,
23,49,other,CHIN,"1/2"" X 1 1/2"" L",L1 QUALITY AS SAMPLE,1,MATCHING,
24,50,other,CF,"1/2"" X 3"" L",,3,MATCHING,
25,51,other,HAND POCKETS,"1/2"" X 1 3/4"" L",,2,MATCHING,
26,52,other,CUFF BODY,"1"" X 3 3/4""L",,1 PER SLEEVE = 2,MATCHING,
27,53,other,CUFF TAB,"1"" X 2 1/2""L",,1 PER SLEEVE = 2,MATCHING,
28,57,other,TOPSTITCH,,#606,TOPSTITCH THREAD,MATCHING,
29,58,other,BARTACKS,,,REGULAR THREAD,MATCHING,
30,61,other,"CHIN AND HEM, POCKET FLAPS",WORKING SNAP,L1-2016-TRIM-003 ORDER FROM LUKS,5,PSUDO ANTI SILVER,
31,62,insulation,CF,CAP ONLY SNAP,L1-2016-TRIM-003 ORDER FROM LUKS,2,PSUDO ANTI SILVER,
32,63,other,HOOD,RECTANGLE CORD LOCK,L1-2016-TRIM-017 ORDER FROM LUKS,2,BROWN,
33,64,other,LEFT CHEST POCKET,FAUX LEATHER HEM WRAP,L1-2016-TRIM-013 ORDER FROM LUKS,1,BROWN,
34,65,other,RIGHT HAND POCKET,"
L1 FAUX LEATHER PATCH",L1-2017-TRIM-101 ORDER FROM LUKS,1,BROWN,
35,66,other,FRONT LEFT SLEEVE,L1 EMBROIDERY SMALL,L1-2016-026,1,INK,
36,67,other,BACK RIGHT SHOULDER,L1 EMBROIDERY LARGE,L1-2016-027,1,INK,
37,68,other,KEYCLIP RIGHT HAND POCKET,NON LOGO STOCK,HK-001 ORDER FROM KNK,1,BLACK,
38,69,label,POWDER SKIRT WOVEN LABEL,CUT OFF LABEL,ORDER FROM LUKS,1,CUT OFF LABEL,
39,72,other,SHELL LEFT UNDERARM,HANGTAG,,1,,
40,73,label,LINING BACK NECK,SIZE LABEL,,1,,
41,74,label,LINING LEFT SIDE SEAM,ADDRESS LABEL,,1,,SEW AS LOOPS
42,75,label,LINING LEFT SIDE SEAM,CONTENT LABEL,,1,,SEW AS LOOPS
43,76,label,LINING LEFT SIDE SEAM,WASHING LABEL,,1,,SEW AS LOOPS
