,MATERIAL_ID,CATEGORY,0,5,8,16,27,28,30,32,34,37,40,43,46
0,10,fabric,SHELL FABRICS,,,,,,,,,,,,
1,11,fabric,SCK-2265 ICE CAFÃ,SINGTEX,"shell fabric on full body, legs and gusset",,1.0,,TBA,,navy,ocean,Red,ebony,black
2,14,other,tonal flatlock stitching,NS THREAD,NS THREAD  ,"rise, gusset/inseam, rolled, hem",,,,,navy,ocean,neon lime,ebony,black
3,17,other,five12-elastic-01,PLEASE SOURCE    ,"logo elastic 1.5""",waistband,,,TBA,,orange,neon lime,ocean,ocean,ebony
4,20,label,FIVE12-W-INT-HT-L,TBA,main interior heat transfer label,interior cb waistband   ,,1.0,,0.0,x,x,x,x,x
5,21,label,TBA,PLEASE SOURCE,perforated care content label ,left waistband seam  ,,1.0,,0.0,white,white,white,white,white
