,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
0,6,insulation,,INSULATION: ,,"60G ""CS"" POLYFILL",,TARGET FOB: ,,33.0
1,11,other,BODY,MICROTWILL SOTT023-2L2-I $3.75 ,,,BLACK,MILITARY,,
2,12,insulation,CUFF RIBBING,1 X 1 POLYESTER  RIBBING ,,,BLACK,BLACK,BLACK ON BOTH COLORWAYS,
3,15,interfacing,"60G ""CS"" POLYFILL ALL OVER",,,,"60G ""CS"" POLYFILL ALL OVER","60G ""CS"" POLYFILL ALL OVER",,
4,21,fabric,BODY,SOLID QUILTED 210T,SOLIS / REF NUMBER,,BLACK,BLACK,,
5,22,fabric,"SLEEVES, HAND POCKET LINING",SOLID 210T,SOLIS / REF NUMBER,,BLACK,BLACK,,
