,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
0,6,insulation,INSULATION:,,PINNECO MANTLE 60G INSULATION ALL OVER,,,TARGET FOB:,,0.0
1,9,other, #5 METAL ZIPPER,YKK / 2-WAY SEMI AUTO LOCKING WITH 2 L1 CUSTOM PULLS,CENTER FRONT,1,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,
2,10,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,CHEST POCKET VERTICAL,1,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,
3,11,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS HORIZONTAL,2,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,
4,14,zipper,"L1-2018-TRIM-017
L1 Zipper Pull",YKK,CENTER FRONT,TOP AND BOTTOM PULL = 2,YKK X ANTIQUE COPPER,YKK X ANTIQUE COPPER,YKK X ANTIQUE COPPER,
5,15,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,CHEST POCKET VERTICAL,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
6,16,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,HAND POCKETS HORIZONTAL,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
7,19,other,"L1-2018-TRIM-006
Large Brown faux leather hem wrap",PLEASE SOURCE,FRONT LEFT HAND POCKET,1,BROWN FAUX LEATHER,BROWN FAUX LEATHER,BROWN FAUX LEATHER,
8,20,label,"L1-2018-TRIM-001
Woven label:",PLEASE SOURCE,FRONT RIGHT HAND POCKET BAG,1,WOVEN LABEL,WOVEN LABEL,WOVEN LABEL,
9,21,other,"L1-2018-TRIM-024
L1 EMBROIDERY SMALL
3cm x 2.77cm  ",PLEASE SOURCE,LEFT SLEEVE HEM,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
10,22,other,"L1-2018-TRIM-025
L1 EMBROIDERY LARGE
3.7cm x 3.4cm  ",PLEASE SOURCE,BACK RIGHT,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
11,29,other,"GROSGRAIN: 3/4"" WIDE  (FOLD IN 1/2, 5/8"" FINISHED TAB LENGTH)",SOLUNA,PULL TAB ON VELCRO LINING POCKET ,1,BLACK,BLACK,BLACK,
12,33,other,"1/2"" X 5 1/2"" (1/2"" SHORTER THAT POCKET LENGTH VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7 / Loop#1057,LINING POCKET,1,BLACK,BLACK,BLACK,
13,38,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
14,39,other,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
15,42,other,5K/5K CRITICALLY TAPED,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,5K/5K CRITICALLY TAPED,5K/5K CRITICALLY TAPED,5K/5K CRITICALLY TAPED,
16,46,other,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,MENS JACKET HANG TAG,MENS JACKET HANG TAG,
17,51,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL,ADDRESS LABEL,
18,52,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL,CONTENT LABEL,
19,53,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL,WASHING LABEL,
