,MATERIAL_ID,CATEGORY,0,5,8,16,27,28,30,32,34,37,40,43
0,10,fabric,SHELL FABRICS,,,,,,,,,,,
1,11,fabric,SW -8337 S CAFE,SINGTEX,"shell fabric at hood, front and back body, sleeves, hand pocket bags",,1.0,,TBA,,ocean,black,navy,ebony
2,12,fabric,SW -8337 S CAFE,SINGTEX,shell fabric at underarms,,2.0,,TBA,,ocean,ebony,navy,ebony
3,13,fabric,SCK-464 ICE CAFÃ,SINGTEX,fabric at internal hood face sheild,,3.0,,TBA,,ocean,ebony,ocean,ocean
4,14,fabric,SCK-464 ICE CAFÃ,SINGTEX,self fabric binding at edge of face sheild,,4.0,,TBA,,ocean,ebony,ocean,ocean
5,16,zipper,ZIPPERS,,,,,,,,,,,
6,17,zipper,CIFOR-39 DSBYG (H3),YKK,"#3 coil, open end, right insert, DSBYG slider ",cf zipper,,1.0,,0,ocean,black,navy,ocean
7,18,zipper,CFC-39 DSBYG (H3),YKK,"#3 coil, closed end, DSBYG slider",hand pocket zippers,,2.0,,0,ocean,neon lime,ocean,ocean
8,21,interfacing,PLEASE SOURCE,TBA,"1/4"" elastic","cuffs, hem, CB hood, sides of hood",,,TBA,yard,stock white,stock white,stock white,stock white
9,25,other,HT-01,TBA,heat transfer,bottom left under hand pocket,,1.0,TBA,,ebony,reflective silver,ocean,ocean
10,26,insulation,HT-02,TBA,reflective heat transfer,back bottom center,,1.0,TBA,,reflective silver,reflective silver,reflective silver,reflective silver
11,27,insulation,HT-14,TBA,reflective heat transfer,right bicep,,,,,reflective silver,reflective silver,reflective silver,reflective silver
12,29,label,FIVE12-W-INT-HT-L,TBA,main interior heat transfer label,interior cb neck          ,,1.0,TBA,,x,x,x,x
13,30,other,self fabric locker loop,SINGTEX,self fabric locker loop use shell #1,locker loop,,1.0,TBA,0,ocean,black,navy,ebony
14,31,label,TBA,PLEASE SOURCE,perforated care content label ,left side seam,,1.0,TBA,,white,white,white,white
