,MATERIAL_ID,CATEGORY,0,1,2,3,4,5
0,6,insulation,INSULATION:,,100G PINNECO CORE ,,,TARGET FOB:
1,10,other,,"Achievetex, HE066-R",S,100% RECYCLED POLYESTER,COLOR,
2,13,insulation,SYNTHETIC DOWN,PINNECO CORE 100G,ALL OVER,100% POLYESTER,100G,
3,19,fabric,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% NYLON,COLOR,
4,20,fabric,SOLID 210T ,SOLIS / SONP006-1,MAIN BODY,100% NYLON,COLOR,
5,21,fabric,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,COLOR,
6,22,fabric,SOLID 210T ,SOLIS / SONP006-1,POCKET BAGS,100% NYLON,COLOR,
