,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
14,28,interfacing,15MM METAL SNAP,LUK'S / 404,SNAP AWAY POWDER SKIRT - LINING FACING ,1 MALE 1 FEMALE,AL023 ALLOY (D) CAP / DOXCP DULL OXIDIZED COPPER BASE,AL023 ALLOY (D) CAP / DOXCP DULL OXIDIZED COPPER BASE,AL023 ALLOY (D) CAP / DOXCP DULL OXIDIZED COPPER BASE,AL023 ALLOY (D) CAP / DOXCP DULL OXIDIZED COPPER BASE
15,29,interfacing,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - JACKET TO PANT CONNECTION,3 SETS,AL023 ALLOY (D) CAP / DOXCP DULL OXIDIZED COPPER BASE,AL023 ALLOY (D) CAP / DOXCP DULL OXIDIZED COPPER BASE,AL023 ALLOY (D) CAP / DOXCP DULL OXIDIZED COPPER BASE,AL023 ALLOY (D) CAP / DOXCP DULL OXIDIZED COPPER BASE
16,30,insulation,METAL EYELETS 11MM ,LUK'S / ET89,HOOD CORD EXIT FRONT,2,DOXCP DULL OXIDIZED COPPER,DOXCP DULL OXIDIZED COPPER,DOXCP DULL OXIDIZED COPPER,DOXCP DULL OXIDIZED COPPER
17,31,other,METAL EYELETS 8MM ,LUK'S / ET04,HEM ADJUST,2 PER SIDE = 4,DOXCP DULL OXIDIZED COPPER,DOXCP DULL OXIDIZED COPPER,DOXCP DULL OXIDIZED COPPER,DOXCP DULL OXIDIZED COPPER
18,32,other,CORD LOCK,SV160819-4A,HEM ADJUST,1 PER SIDE = 2,19-0515 TCX MILITARY, 19-4010 TCX INK, 18-0513 TCX WALNUT, 19-4006 TCX BLACK
19,34,other,KEYCLIP,AS BULK,RIGHT HAND POCKET,1,BLACK,BLACK,BLACK,BLACK
20,35,other,METAL DRAWCORD TIP,SEE PHOTO,HOOD SHOCKCORD TIPS,1 PER SIDE = 2,DOXCP DULL OXIDIZED COPPER,DOXCP DULL OXIDIZED COPPER,DOXCP DULL OXIDIZED COPPER,DOXCP DULL OXIDIZED COPPER
21,39,other,"3/8"" GROSGRAIN",SOLUNA,ATTACH HEM CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK
22,40,other,"1/4"" GROSGRAIN",SOLUNA,ATTACH KEYCLIP RIGHT HAND POCKET ,1,BLACK,BLACK,BLACK,BLACK
23,41,other,"GROSGRAIN 3/4"" X  3 1/2"" FLAT WEBBING (FINISHED LENGTH)",SOLUNA,POWDER SKIRT - SIDE TABS JACKET TO PANT CONNECTION ,2,BLACK,BLACK,BLACK,BLACK
24,42,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",SOLUNA,JACKET TO PANT CONNECTION CENTER BACK ON TAB,1,SHELL,SHELL,SHELL,SHELL
25,43,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",SOLUNA,JACKET TO PANT CONNECTION CENTER BACK UNDER SNAP ON GRIPPER ELASTIC,1,SHELL,SHELL,SHELL,SHELL
26,44,other,"SHELL FABRIC TAB 3/4"" X  1"" ",SOLUNA,JACKET TO PANT CONNECTION AT SIDE TABS UNDER SNAPS,1 PER SIDE = 2,SHELL,SHELL,SHELL,SHELL
27,45,other,"ELASTIC 1"" X 4""",SOLUNA,POWDER SKIRT MIDDLE TAB - JACKET TO PANT CONNECTION ,1,BLACK,BLACK,BLACK,BLACK
28,46,other,25MM GRIPPER ELASTIC,MTT0022,POWDER SKIRT,1,BLACK,BLACK,BLACK,BLACK
29,47,other,ELASTINE BINDING,SOLUNA,GOGGLE POCKET BINDING,1,BLACK,BLACK,BLACK,BLACK
30,52,other,"1/2"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",XXX,CHIN,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
31,53,other,"1/2"" X 3 VELCRO WITH ROUNDED CORNERS",XXX,CENTER FRONT PLACKET,4,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
32,54,other,"3/4"" X 3 3/4"" VELCRO WITH ROUNDED CORNERS",XXX,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
33,55,other,"3/4"" X 2 1/2"" VELCRO WITH ROUNDED CORNERS",XXX,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
34,58,other,SEAMS,10-12 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
35,59,other,DENIM (HEAVY) WEIGHT TOPSTITCH THREAD - CAN YOU SUGGEST THICKNESS,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
36,60,other,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
37,63,other,10K/10K CRITICALLY TAPED,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,10K/10K CRITICALLY TAPED,10K/10K CRITICALLY TAPED,10K/10K CRITICALLY TAPED,10K/10K CRITICALLY TAPED
38,71,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL,ADDRESS LABEL,ADDRESS LABEL
39,72,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL,CONTENT LABEL,CONTENT LABEL
40,73,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL,WASHING LABEL,WASHING LABEL
