,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7,8,9
0,3,insulation,,,Insulation:,,,Collection: Glacier,,,,
1,10,fabric,,,,,FABRICS & LININGS,,,,,
2,11,fabric,A,Shell Fabric,SOTM108-2L2-H 100%Nylon 10k/8k DWR+BREATHABLE COATING (supplied by Li Peng),"Main body, sleeves. Hood",,BLACK,EVERGREEN,FLAME,DAY JUNGLE,AB18MJ1_084G
3,12,fabric,B,Lining,210T-E EMB07 Terry Taffeta emboss (Supplied by ECOYA),"Powder skirt, pocket bag, sleeve lining, hood lining, below powder skirt",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
4,13,fabric,C,Other , Velvety Tricot - SOTO048-1 (supplied by Solis),"comfort chin guard, inner front pocket bag panel",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
5,14,fabric,D,Other,100% poly MESH - SOTC025-1 (supplied by Solis),"vents, internal goggle pocket",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
6,15,fabric,E,Other,nylon/elastic lycra - SONO029-1 (supplied by Solis),powder skirt,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
7,16,fabric,F,Other,SOTF104-1 100% POLYESTER FLEECE,front and back inside lining to top of powder skirt ONLY,,BLACK,FIRE,FIRE,BLACK,AB18MJ1_084G
8,17,other,G,Other,Lycra binding tape,Internal mesh pocket opening,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
9,18,other,H,Other,Gripper elastic,powder skirt,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
10,19,insulation,I,Other,"1x1 rib knit,good quality Arcylic/Spandex",Cuffs,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
11,20,interfacing,J,Pellon,lightweight interfacing (item# TBD),"Inner storm flap, powder skirt closure flaps",,WHITE,WHITE,WHITE,WHITE,AB18MJ1_084G
12,21,interfacing,K,Pellon,heavyweight interfacing (item# TBD),hood brim,,WHITE,WHITE,WHITE,WHITE,AB18MJ1_084G
13,22,other,L,,,,,,,,,AB18MJ1_084G
14,24,zipper,AA,Zipper,"YKK No.5 coil zipper.  Auto-lock slider DA8LH,   (Right hand pull left hand insert)",CF,1,BLACK,EVERGREEN 153,FLAME 819,CORDOVAN 048,AB18MJ1_084G
15,25,zipper,BB,Zipper,YKK  No.5 nylon coil zippers.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN),( 2) hand pockets,2,BLACK,EVERGREEN 153,FLAME 819,CORDOVAN 048,AB18MJ1_084G
16,26,zipper,CC,Zipper,"YKK  No.5 nylon coil zippers,1-way hidden chain.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN)", vents,2,BLACK,EVERGREEN 153,FLAME 819,CORDOVAN 048,AB18MJ1_084G
17,27,zipper,DD,Zipper,"YKK  No.5 nylon coil zippers hidden chain ,auto-lock slider DA8LH1 (zipper closes UP)",1 internal pocket at w.'s inside LEFT,1,BLACK,EVERGREEN 153,FLAME 819,CORDOVAN 048,AB18MJ1_084G
18,28,zipper,EE,Zipper,"YKK No.5 nylon coil, hidden chain zipper, auto-lock slider DA8LH",(1)Removable Powder Skirt,1,BLACK,EVERGREEN 153,FLAME 819,CORDOVAN 048,AB18MJ1_084G
19,29,other,FF,Zipper Pull,ABZP_01 Utility cord zipper pullers with tied end  (supplied by Wei Rong),"CF, (2) hand pockets, (1) internal pocket, (2) vents",6,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
20,32,other,GG,Stoppers,Barrel stopper K-018,2) hood,2,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
21,33,other,HH,Webbing,"Flat Webbing Tape, 8mm", key clip attachment at inside wearer's right pocket,1,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
22,34,other,II,Webbing,flat webbing tape 8mm width, (2)Stopper attachments loops at bottom hem,2,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
23,35,other,JJ,Hardware,"metal eyelets, 12mm (incl. washers)",(4) at hood opening,4,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,AB18MJ1_084G
24,36,other,KK,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm (incl. washers)"," (6)C.F., (2) pockets, (1) snap tabs at inside bottom hem,  (2) at powder skirt, (2) Cuff tab, (1) back vent",14,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,AB18MJ1_084G
25,37,other,LL,Hardware,Male snap only (incl. washers),"(2) powder skirt, (2)cuffs",4,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,AB18MJ1_084G
26,38,other,MM,Drawcord,Flat Shoelace drawcord WITH Black Oxidize finish METAL ENDS  w: 1 cm ,Hood,1,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
27,39,other,NN,Elastic , 2.5 cm flat elastic ,(2) Cuffs,2,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
28,40,other,OO,Key Clip,plastic key clip attched with webbing loop,Inside wearers right pocket.,1,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
29,41,label,PP,Main Label,ABWV_59 Glacier Main Label,"inside c.b. neck, see Q/A for placement",1,OLIVE/ BLACK/ OFF WHITE,BLACK/ GLOD/ OXBLOOD,OLIVE/ BLACK/ OFF WHITE,BLACK/ GLOD/ OXBLOOD,AB18MJ1_084G
