,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7
0,6,insulation,INSULATION:,,"40G PINNECO MANTLE HOOD & SLEEVES, 60G BODY",,,TARGET FOB:,,
1,10,fabric,BROKEN TWILL,"SOLIS / BROKEN TWILL WL248, 10K/10K, C6 + DWR",A,,RUST  ,INK  ,BLACK,VINTAGE CAMO BROKEN TWILL
2,11,fabric,OXFORD,"SOLIS/ OXFORD L2-581 / 10K/10K, C6 + DWR",B,,BLACK,GUNMETAL,BLACK,X
3,12,fabric,BROKEN TWILL,"SOLIS / BROKEN TWILL WL248, 10K/10K, C6 + DWR",B,,x,x,x,VINTAGE CAMO BROKEN TWILL
4,15,insulation,POLYFILL INSULATION ,PINNECO MANTLE 40G ,HOOD AND SLEEVES,100% POLYESTER,PINNECO MANTLE 40G ,PINNECO MANTLE 40G ,PINNECO MANTLE 40G ,PINNECO MANTLE 40G 
5,16,insulation,POLYFILL INSULATION ,PINNECO MANTLE 60G ,BODY,100% POLYESTER,PINNECO MANTLE 60G ,PINNECO MANTLE 60G ,PINNECO MANTLE 60G ,PINNECO MANTLE 60G 
6,22,fabric,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
7,23,label,PRINTED SATIN,LUCKY / SATIN LINING LTC36838-X-P1847 with dead flowers print,MAIN BODY,100% POLYESTER,LUCKY / SATIN LINING LTC36838-X-P1847 with dead flowers print,LUCKY / SATIN LINING LTC36838-X-P1847 with dead flowers print,LUCKY / SATIN LINING LTC36838-X-P1847 with dead flowers print,X
8,24,fabric,SOLID SATIN,LUCKY / SOLID SATIN LINING LTC36838-X-P1847,MAIN BODY,100% POLYESTER,X,X,X,BLACK
9,25,fabric,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,BLACK,BLACK,BLACK,BLACK
10,26,fabric,SOLID 210T ,SOLIS / SONP006-1,POCKET BAGS OTHER THAN HAND,100% NYLON,BLACK,BLACK,BLACK,BLACK
11,27,fabric,SOLID 210T ,SOLIS / SONP006-1,TOP ENTRY HAND POCKET BAGS,100% NYLON,BLACK,BLACK,BLACK,BLACK
12,28,fabric,SOLID COATED 210T,SOLIS / SONP006-PU03,LOWER BODY & POWDER SKIRT,100% NYLON,BLACK,BLACK,BLACK,BLACK
13,29,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,SIDE ENTRY HAND POCKET BAGS,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
14,30,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
15,31,other,REGULAR MESH ,SUPPLIER / REF CODE,UNDERARM VENTS,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
16,32,other,REGULAR MESH ,SUPPLIER / REF CODE,GOGGLE POCKET,100% POLYESTER,BLACK,BLACK,BLACK,BLACK
17,33,other,STRETCH LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,,BLACK,BLACK,BLACK,BLACK
