,MATERIAL_ID,CATEGORY,0,1,2,3,4
0,10,fabric,,"Solis / SOTE108-B4
100% poly, 248gsm, windstop,
C6 80/20 dwr, 4way stretch",S,100% POLYESTER,COLOR
1,14,fabric,NON INSULATED,,,,
2,17,other,NON TAPED,,,,
3,20,fabric,BRUSHED TECH MESH,SUPPLIER / REF CODE,CHIN FACING,100% POLYESTER,COLOR
4,21,fabric,SHELL FABRIC,SUPPLIER / REF CODE,HAND POCKET BAGS,,COLOR
5,22,fabric,SOLID 210T,SOLIS / SONP006-1,MEDIA POCKET,100% NYLON,COLOR
6,23,fabric,LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,,COLOR
