,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,7
0,0,other,,L1 JACKET,,,,,
1,6,insulation,,INSULATION:,,"60g BODY, 40G HOOD/SLEEVES ""CS"" POLYFILL",,FABRIC: ,BROKEN TWILL/ OXFORD
2,11,fabric,A,OXFORD NO WASHOUT 5k/5k COATING + C6 DWR 80/10 $4.00,SOLIS L2-584,100% POLY,,,
3,12,fabric,B,BROKEN TWILL 5K/5K HYDROPHILIC COATING C6 DWR 80/10,SOLIS WL248,100% POLY,,,
4,15,insulation,HOOD & SLEEVES,INSULATION,"""CS"" TYPE POLYFILL",100% POLY,40G,,
5,16,insulation,BODY,INSULATION,"""CS"" TYPE POLYFILL",100% POLY,60G,,
6,22,fabric,BACK,BONE COLLECTOR PRINT,TE ER JIA TEXTILE,100% POLY,BONE COLLECTOR PRINT,,
7,23,fabric,CHIN,BT-120 120G BRUSHED TRICOT,FUK LUEN,100% POLY,BLACK,,
8,24,fabric,LOWER BODY & POW,COATED 210T,TE ER JIA TEXTILE,100% NYLON,BLACK,,
9,25,fabric,SLEEVE GAITER,LYCRA E3953B,Ching Hing Textile,82% Polyester 18% Elastane,BLACK,,
10,26,fabric,VENTS,REGULAR MESH A-1014,FUK LUEN,100% POLY,BLACK,,
11,27,fabric,GOGGLE POCKET,REGULAR MESH A-1014,FUK LUEN,100% POLY,BLACK,,
12,28,fabric,HOOD,SOLID 210T,TE ER JIA TEXTILE,100% NYLON,BLACK,,
13,29,fabric,FRONTS,SOLID 210T,TE ER JIA TEXTILE,100% NYLON,BLACK,,
14,30,fabric,SLEEVES,SOLID 210T,TE ER JIA TEXTILE,100% NYLON,BLACK,,
15,31,fabric,HAND POCKET LINING,SOLID 210T,TE ER JIA TEXTILE,100% NYLON,BLACK,,
