,MATERIAL_ID,CATEGORY,0,1,2,3,4,5
0,6,insulation,INSULATION:,,40G PINNECO MANTLE ALL OVER,,,TARGET FOB:
1,10,fabric,,"Hyperbola / SC579-1 *2L
*(printable)",S,,,
2,14,insulation,,PINNECO MANTLE,ALL OVER,,40G,
3,20,fabric,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% NYLON,COLOR,
4,21,fabric,SOLID 210T ,SOLIS / SONP006-1,MAIN BODY,100% NYLON,COLOR,
5,22,fabric,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,COLOR,
6,23,fabric,SOLID 210T ,SOLIS / SONP006-1,SECONDARY POCKET BAGS,100% NYLON,COLOR,
7,24,fabric,SOLID COATED 210T,SOLIS / SONP006-PU03,LOWER BODY & POWDER SKIRT,100% NYLON,COLOR,
8,25,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,COLOR,
9,26,fabric,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,COLOR,
10,27,fabric,BRUSHED TECH MESH,SUPPLIER / REF CODE,NECK FACING,100% POLYESTER,COLOR,
11,28,fabric,REGULAR MESH,SUPPLIER / REF CODE,UNDERARM VENTS,100% POLYESTER,COLOR,
12,29,fabric,REGULAR MESH ,SUPPLIER / REF CODE,GOGGLE POCKET,100% POLYESTER,COLOR,
13,30,fabric,LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,COLOR,
