,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6
0,6,insulation,INSULATION:,,PINNECO MANTLE 60G INSULATION ALL OVER,,,TARGET FOB:,
1,10,fabric,COTTON TOUCH ,SOLIS / SONP020-CC01-M / C6 + DWR / 5K/5K,A,,BLACK,WALNUT,DARK SLATE 
2,11,insulation,RIBBING,LEADER COLLAR / AS LAST YEAR PRODUCTION,"COLLAR, SLEEVE HEM",,BLACK,WALNUT,DARK SLATE 
3,14,insulation,POLYFILL INSULATION ,PINNECO MANTLE 60G ,ALL OVER,100% POLYESTER,60G,60G,60G
4,20,fabric,BLANKET LINING,SOLIS / SOTY066-D BLANKET LINING / BRUSH / NO DWR,MAIN BODY,,BLANKET LINING,BLANKET LINING,BLANKET LINING
5,21,fabric,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,BLACK,BLACK,BLACK
6,22,fabric,SOLID 210T ,SOLIS / SONP006-1,POCKET BAGS,100% NYLON,BLACK,BLACK,BLACK
