,brand,style,description,ref,fabric,trims,supplier,position,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,inner,outer
0,lafuma,lfv11301,"shell 1 colors 1
dt-1693",nan,1,0,drytex,garment,nan,insigna blue,vibrant red,noir,nan,nan,0,1
1,lafuma,lfv11301,"shell 1 colors 2
dt-1693",nan,1,0,drytex,inside collar + bottom hem,nan,insigna blue,insigna blue,noir,nan,nan,0,1
2,lafuma,lfv11301,mesh,nan,1,0,local,body,nan,black,black,black,nan,nan,0,1
3,lafuma,lfv11301,nylon 210t,nan,1,0,local,sleeves lining + hood + pocket bag,nan,black,black,black,nan,nan,0,1
4,lafuma,lfv11301,critical seam tape,nan,1,0,local,hood / collar / shoulder / armhole,nan,clear,clear,clear,nan,nan,0,1
5,lafuma,lfv11301,"zipper vislon # 5 - 1way - separable- autolock
sd51ma.rt
",nan,0,1,"max
zipper",front zip,1,"vibrant red / insigna blue
tape: 820
teeth: 196
slider: 196","insigna blue / vibrant red
tape: 196
teeth: 820
slider: 820","grey / black
tape: 389
teeth: 580
slider: 580",nan,nan,0,1
6,lafuma,lfv11301,"zipper reverse # 5 - 1way - non separable - non lock
sn52max
",nan,0,1,"max
zipper","hands pockets under flap (2)
chest pocket (1)",3,196,820,580,nan,nan,0,1
7,lafuma,lfv11301,zipper cord 2 tone  16cm,zp070-e,0,1,unitex,"front opening (1)
front pockets (2)
chest pocket (1)",4,vibrant,navy,carbone,nan,nan,0,1
8,lafuma,lfv11301,"2,5mm elastic cord ",nan,0,1,local,"bottom adjustment  (1)
hood adjustment (1)",2,black,black,black,nan,nan,0,1
9,lafuma,lfv11301,"new mmg cord stopper 
20mm+ slit",eis15u-xmstp01,0,1,unitex,"bottom adjustment  (1)
hood adjustment (2)",3,black,black,black,nan,nan,0,1
10,lafuma,lfv11301,10mm metal eyelet,nan,0,1,local,"bottom adjustment  (2)
hood adjustment (4)",6,antic silver,antic silver,antic silver,nan,nan,0,1
11,lafuma,lfv11301,plastic pearl,cp-a1,0,1,unitex,hood adjustment (2),2,black,black,black,nan,nan,0,1
12,lafuma,lfv11301,10mm nylon webbing ,nan,0,1,local,"bottom adjustment  (2)
hood adjustment (2)",4,black,black,black,nan,nan,0,1
13,lafuma,lfv11301,"velcro female (rounded corner)
12x60mm",nan,0,1,local / pahio,"hood (3)
collar (3)",6,"tone on tone
t0535","tone on tone 
t0137","tone on tone
black",nan,nan,0,1
14,lafuma,lfv11301,"velcro male (rounded corner)
12x60mm",nan,0,1,local / pahio,collar flap (3),3,"tone on tone
t0535","tone on tone 
t0137","tone on tone
black",nan,nan,0,1
15,lafuma,lfv11301,"velcro female ( rounded corner)
20x80mm",nan,0,1,local / pahio,"back hood adjustment
on  garment  ",1,"tone on tone
t0535","tone on tone 
t0137","tone on tone
black",nan,nan,0,1
