,description,item,ref,amount,colorway/4,colorway/5,colorway/6
1,center front,#5 coil,ykk za/dag snap on // 2-way seperating auto lock ,1,pseudo anti silver slider  and dtm teeth / dtm tape,none,none
2,right chest pocket,#5 matte water resistant,dadhr diecast wire (non ykk) auto lock ,1,dtm slider and tape / dtm tape,none,none
3,underarms,#5 coil,dadhr diecast wire (non ykk) auto lock (zip up to close) ,1 per side = 2,pseudo anti silver slider  and dtm teeth / dtm tape,none,none
4,side entry hand pockets,#5 coil,dadhr diecast wire (non ykk) auto lock ,1 per side = 2,pseudo anti silver slider  and dtm teeth / dtm tape,none,none
5,inside pocket,#5 coil,dadhr diecast wire (non ykk) auto lock ,1,pseudo anti silver slider  and dtm teeth / black tape,none,none
6,removable powder skirt,#3 coil,none,1,pseudo anti silver slider  and dtm teeth / black tape,none,none
7,zipper pulls,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
8,center front,l1 snap on metal zipper pull,luks / l1-2016-trim-009 ,1,pseudo anti silver ,none,none
9,underarms, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none
10,side entry hand pockets, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none
11,inside pocket, self fabric pull,factory made // 11nt-045 ,1,shell fabric matching,none,none
12,l1 branded trims,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
13,front left sleeve,l1 small embroidery,soluna / l1-2016-026,1,dtm,none,none
14,back right ,l1 large embroidery,soluna / l1-2016-027,1,dtm,none,none
15,left chest,l1 new patch,luks / new trim ,1,black,none,none
16,snaps,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
17,left chest pocket,24l metal snap,please sorce,1 set,pseudo anti silver,none,none
18,hidden at chin and hem,24l metal snap,please sorce,2 sets,pseudo anti silver,none,none
19,cf powder skirt closure,14 mm plastic snap,duraflex / 1414,"4 male, 2 female",black,none,none
20,pow skirt: jacket to pant connection on powderskirt hem,14 mm plastic snap,duraflex / 1414,3 sets,black,none,none
21,"""snap away powder skirt"" snap powder skirt to front facing when not in use",14 mm plastic snap,duraflex / 1414,"1 male, 1 female",black,none,none
22,cord locks,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
23,back hood cord lock,cord lock,knk / sp-177,1 per side = 2,tbd,none,none
24,back hood cord lock tip,cord tip,knk / cs-074,1 per side = 2,tbd,none,none
25,front hood cord locks,cord lock,knk / sp-204,1 per side = 2,tbd,none,none
26,hem cord locks,cord lock,knk /  sp-058,1 per side = 2,tbd,none,none
27,pocket cord tip,cord lock,knk / cs-1,1 per side = 2,tbd,none,none
28,grommets,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
29,back hood cord exit,grommet 11.5 mm (large),please sorce,1 per side = 2,pseudo anti silver ,none,none
30,front hood adjust cord exit,grommet  8mm diameter,please sorce,2 per side = 4,pseudo anti silver ,none,none
31,hem adjust cord exit,grommet  8mm diameter,please sorce,2 per side = 4,pseudo anti silver ,none,none
32,hem adjust cord exit in lining pocket,grommet  8mm diameter,please sorce,1 per side = 2,pseudo anti silver ,none,none
33,shockcord,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
34,hood & hem,3mm stretch shockcord,suppler / ref nuber,none,none,none,none
35,webbing ,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
36,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",suppler / ref nuber,1,black,none,none
37,hem & hood cord lock tie downs,"1/4"" flat webbing loop",suppler / ref nuber,5,black,none,none
38,right hand pocket,plastic keyclip ,suppler / ref nuber,1,black,none,none
39,jacket to pant connection center back ,"3/4"" x 1"" finished ",suppler / ref nuber,tab behind each snap = 2,black,none,none
40,jacket to pant connection at side tabs,"3/4"" x 3 1/4"" flat webbing",suppler / ref nuber,1,black,none,none
41,elastic,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
42,powder skirt gripper elastic,25mm,suppler / ref nuber,1,stock,none,none
43,jacket to pant connection center back tab,"flat elastic tape 3/4"" x 4 1/4""",suppler / ref nuber,1,black,none,none
44,goggle pocket,elastine binding,suppler / ref nuber,1,black,none,none
45,lining media pocket cable guide,"1/4"" flat elastic",suppler / ref nuber,1,black,none,none
46,encased in back of sleeve hem,none,suppler / ref nuber,1,black,none,none
47,velcro,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
48,cuff ,2.5cm x 9cm,paiho / loop#1057,1 loop tab,matching,none,none
49,cuff tab,2.5cm x 6.5cm,paiho / hooketn7,1 hook tab,matching,none,none
50,chin,1.3 cm x 4cm,paiho / hooketn7 / loop#1057,1 set,matching,none,none
51,cf placket,1.3 cm x 7.5cm,paiho / hooketn7 / loop#1057,4 sets,matching,none,none
52,hand pocket flaps,1.3 cm x 4cm,paiho / hooketn7 / loop#1057,2 sets ,matching,none,none
53,left sleeve pocket,1.3 cm x 9cm,paiho / hooketn7 / loop#1057,1 set,matching,none,none
54,thread,spi,ref number,amount,colorway 1 ,colorway 2,colorway 3
55,seams,none,#604,none,matching,none,none
56,topstitch,none,none,none,matching,none,none
57,bartacks,none,none,none,matching,none,none
58,sleeve gaiter cover stitch,none,none,none,matching,none,none
59,marketing,description,ref number,amount,colorway 1 ,colorway 2,colorway 3
60,left hand pocket zipper head,l1 hang tag,none,1,l1 hang tag,none,none
61,lining cb facing,wp breath / size label / rn ca / made in ___,none,1,none,none,none
62,lining left side seam,address label,sew as loop,1,address label,none,none
63,lining left side seam,content label,sew as loop,1,content label,none,none
64,lining left side seam,washing label,sew as loop,1,washing label,none,none
65,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none
