,description,item,ref,content,colorway/4,colorway/5,colorway/6,colorway/7
1,a,broken twill $3.70 10k/10k coat +80/10 dwr,solis,100% poly,black,x,x,harvest
2,a,pa10004 $3.00 flat face 10k/10k coat + 80/10 dwr,raco,100% poly,x,camo,sand,x
3,b,pa10004 $3.00 flat face 10k/10k coat + 80/10 dwr,raco,100% poly,black,camo,dark slate,raven
4,insulation,item,supplier/ ref number,content,black,camo,sand / dark slate,harvest / raven
5,"40g ""cs"" polyfill all over",none,none,none,"40g ""cs"" polyfill all over","40g ""cs"" polyfill all over","40g ""cs"" polyfill all over","40g ""cs"" polyfill all over"
6,seam tape,item,supplier/ ref number,content,black,camo,sand / dark slate,harvest / raven
7,critically taped,width...seam tape,tsgs,none,critically taped,critically taped,critically taped,critically taped
8,lining,item,supplier/ ref number,content,black,camo,sand / dark slate,harvest / raven
9,"hood,  sleeves, chest and top entry pocket bag, front panels",solid nylon 210t,solis / ref number,none,black,black,black,black
10,black panel,solid 210t with eagle panel print,solis / ref number,none,solid black 210t with eagle print,solid black 210t with eagle print,solid black 210t with eagle print,solid black 210t with eagle print
11,front and back panels,waffle fleece,solis / ref number,none,none,none,none,none
12,lower body & powder skirt ,solid coated 210t,solis / ref number,none,black,black,black,black
13,chin & side entry pocket bags,brushed tricot,solis / ref number,none,black,black,black,black
14,underam vents,a-101 regular mesh,solis / ref number,none,black,black,black,black
15,goggle pocket,a 101 regular mesh power stretch mesh,solis / ref number,none,black,black,black,black
16,sleeve gaiter,stretch lycra,solis / ref number,none,black,black,black,black
