index,non material rows,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,brand,style,material_garment,fabric,trims,zipper,outer,inner
,,SHOCKCORD,"L1-2018-TRIM-030
Two-color Shock Cord
SEE COLOR UPS FOR 
COLORS",,,,hood,,,,,,,,,,"TWO-COLOR SHOCK CORD =
COLORWAY: 1
19-4006 TCX BLACK/
18-0403 TCX GUNMETAL",,,,L1,L1-105-18_AFTERSHOCK_4-07-17,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SOLUNA/ SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-105-18_AFTERSHOCK_4-07-17,1,0,1,0,1,0
,,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,,,,LEFT SIDE HAND POCKET ZIPPER,,,,,,,,,,,,,,L1,L1-105-18_AFTERSHOCK_4-07-17,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY SEAM SEALED,,,,,,,,,BEMIS,ST-004,,,,L1,L1-106-17_HASTING_07_28_16,1,0,1,0,1,0
,,Mesh,A-101 REGULAR MESH,,,,UNDERAM VENTS,,,,,,,,,Solis,,,,,L1,L1-106-17_HASTING_07_28_16,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-106-17_HASTING_07_28_16,1,0,1,0,1,0
,,Thread,8-10  SPI,#30/2,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1-106-17_HASTING_07_28_16,1,0,1,0,1,0
,,Thread,,,,,BARTACKS,,,,,,,,,,,,,,L1,L1-106-17_HASTING_07_28_16,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY SEAM SEALED,,,,,,,,,BEMIS,ST-004,,,,L1,L1-106-18_HASTING_4-12-17,1,0,1,0,1,0
,, #8 VISLON ZIPPER,YKK / 1-WAY SEMI AUTO LOCKING WITH 1 L1 CUSTOM PULL,,,,CENTER FRONT,,,,,,,,,,,,,,L1,L1-106-18_HASTING_4-12-17,1,0,0,1,1,0
,,Embroidery,"L1-2018-TRIM-025
L1 EMBROIDERY LARGE",,,,BACK RIGHT,,,,,,,,,,,,,,L1,L1-106-18_HASTING_4-12-17,0,0,0,1,1,0
,,CORD LOCK,,,,,HEM ADJUST EXPOSED AT LINING,,,,,,,,,,SV160819-4A,1 PER SIDE = 2,,,L1,L1-106-18_HASTING_4-12-17,1,0,1,0,1,0
,,BEAD,,,,,HEM ADJUST,,,,,,,,,,SV160725-1A,1 PER SIDE = 2,,,L1,L1-106-18_HASTING_4-12-17,1,0,1,0,1,0
,,KEYCLIP,AS LAST YEAR PRODUCTION,,,,RIGHT HAND POCKET,,,,,,,,,,,,,,L1,L1-106-18_HASTING_4-12-17,1,0,1,0,1,0
,,SHOCKCORD,"L1-2018-TRIM-030
Two-color Shock Cord
SEE COLOR UPS FOR 
COLORS",PLEASE SOURCE,,,HEM,,,,,,,,,,,,,,L1,L1-106-18_HASTING_4-12-17,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-106-18_HASTING_4-12-17,1,0,1,0,1,0
,,Thread,8-10  SPI,#30/2,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1-106-18_HASTING_4-12-17,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SOLUNA/ SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-106-18_HASTING_4-12-17,1,0,1,0,1,0
,,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,,,,LEFT SIDE HAND POCKET ZIPPER,,,,,,,,,,,,,,L1,L1-106-18_HASTING_4-12-17,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,SEALON,,,,,L1,L1-107-17_BARSTOW_MARCH17,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-107-17_BARSTOW_MARCH17,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,SEALON,,,,,L1,L1-107-17_BARSTOW,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-107-17_BARSTOW,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS,,,,,L1,L1-107-18_WILCOX_4-7-17,1,0,1,0,1,0
,,CORD LOCK,,,,,HEM ADJUST EXPOSED AT LINING,,,,,,,,,,SV160819-4A,1 PER SIDE = 2,,,L1,L1-107-18_WILCOX_4-7-17,1,0,1,0,1,0
,,BEAD,,,,,HEM ADJUST,,,,,,,,,,SV160725-1A,1 PER SIDE = 2,,,L1,L1-107-18_WILCOX_4-7-17,1,0,1,0,1,0
,,DRWACORD,flat drawcord PLEASE SOURCE AS PHOTO,,,,HOOD,,,,,,,,,,CW17-022 ,,,,L1,L1-107-18_WILCOX_4-7-17,1,0,1,0,1,0
,,"ELASTIC 1/4"" ",,,,,CABLE GUIDE,,,,,,,,,,,,,,L1,L1-107-18_WILCOX_4-7-17,1,0,1,0,1,0
,,SHOCKCORD,"L1-2018-TRIM-030
Two-color Shock Cord
SEE COLOR UPS FOR 
COLORS",PLEASE SOURCE,,,HEM,,,,,,,,,,,,,,L1,L1-107-18_WILCOX_4-7-17,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-107-18_WILCOX_4-7-17,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SOLUNA/ SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-107-18_WILCOX_4-7-17,1,0,1,0,1,0
,,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,,,,LEFT SIDE HAND POCKET ZIPPER,,,,,,,,,,,,,,L1,L1-107-18_WILCOX_4-7-17,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,SEALON,,,,,L1,L1-108-17_ROCKEFELLER,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-108-17_ROCKEFELLER,1,0,1,0,1,0
,,SEAM TAPE,15MM LTC32509-R5-H474 3L - seam tape ,100% POLYESTER,,,CRITICALLY TAPED,,,,,,,,,LUCKY,,,,,L1,L1-108-18_TAXWOOD_JACKET,1,0,1,0,1,0
,,"ELASTIC 1/4"" ",,,,,LINING CABLE GUIDE,,,,,,,,,,,,,,L1,L1-108-18_TAXWOOD_JACKET,1,0,1,0,1,0
,,SHOCKCORD,"L1-2018-TRIM-030
Two-color Shock Cord
SEE COLOR UPS FOR 
COLORS",PLEASE SOURCE,,,HEM & HOOD,,,,,,,,,,,,,,L1,L1-108-18_TAXWOOD_JACKET,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-108-18_TAXWOOD_JACKET,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SOLUNA/ SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-108-18_TAXWOOD_JACKET,1,0,1,0,1,0
,,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,,,,LEFT SIDE HAND POCKET ZIPPER,,,,,,,,,,,,,,L1,L1-108-18_TAXWOOD_JACKET,1,0,1,0,1,0
,,INSULATION,"40G ""CS"" POLYFILL",,,,,,,,,,,,,,,,,,L1,L1-109-17_STOOGE,1,1,0,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS,,,,,L1,L1-109-17_STOOGE,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-109-17_STOOGE,1,0,1,0,1,0
