index,non material rows,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,brand,style,material_garment,fabric,trims,zipper,outer,inner
,,Thread,8-10  SPI,#30/2,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1-210-18_THUNDER,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2 # 604 TSEU,,,SEAMS,,,,,,,,,,,,,,L1,L1-210-18_THUNDER,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-208-18_SKINNY TWILL,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-211-17_THE ONE PANT BONDED 3L,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS,,,,,L1,L1-211-18_AFTERSHOCK,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-211-18_AFTERSHOCK,1,0,1,0,1,0
,,Thread,8-10  SPI,#30/2,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1-211-18_AFTERSHOCK,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-211-18_AFTERSHOCK,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-201-17_LORETTA TWILL OVERALL,1,0,1,0,1,0
,,Thread,8-10  SPI,#30/2,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1TA-201-17_LORETTA TWILL OVERALL,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-202-17_LORETTA DENIM OVERALL,1,0,1,0,1,0
,,Thread,8-10  SPI,#30/2,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1TA-202-17_LORETTA DENIM OVERALL,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-204-17_HEARTBREAKER DENIM PANT,1,0,1,0,1,0
,,Thread,8-10  SPI,#30/2,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1TA-204-17_HEARTBREAKER DENIM PANT,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-205-17_HEARTBREAKER TWILL PANT,1,0,1,0,1,0
,,Thread,8-10  SPI,#30/2,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1TA-205-17_HEARTBREAKER TWILL PANT,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS,,,,,L1,L1TA-101-18_EMMA,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-101-18_EMMA,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1TA-101-18_EMMA,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS,,,,,L1,L1TA-102-18_TAMARYN,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-102-18_TAMARYN,1,0,1,0,1,0
,, #5 VISLON ZIPPER,YKK / 2-WAY SEMI AUTO LOCKING WITH 2 L1 CUSTOM PULLS,,,,CENTER FRONT,,,,,,,,,,,1,,,L1,L1TA-102-18_TAMARYN,1,0,1,1,1,0
,, #5 COIL ZIPPER (SPECIAL HERRINGBONE TAPE),NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,,,,CHEST POCKET VERTICAL,,,,,,,,,,,1,,,L1,L1TA-102-18_TAMARYN,1,0,1,1,1,0
,, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,,,,UNDERARM VENTS,,,,,,,,,,,1 PER SIDE = 2,,,L1,L1TA-102-18_TAMARYN,1,0,1,1,1,0
,, #5 COIL ZIPPER,NON YKK / 1-WAY 5C DFW SHORT NON LOCKING,,,,LINING POCKET VERTICAL,,,,,,,,,,,1,,,L1,L1TA-102-18_TAMARYN,1,0,1,1,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-102-18_TAMARYN,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS,,,,,L1,L1TA-103-18_FAIRBANKS,1,0,1,0,1,0
,,RIBBING,LEADER COLLAR/ AS PRODUCTION,,,,SLEEVE CUFF,,,,,,,,,,,,,,L1,L1TA-103-18_FAIRBANKS,1,0,1,0,1,0
,,Embroidery,"L1-2018-TRIM-025 /
L1 EMBROIDERY LARGE
3.7cm x 3.4cm  
L1 EMBROIDERY LARGE",,,,BACK RIGHT,,,,,,,,,,,,,,L1,L1TA-103-18_FAIRBANKS,0,0,0,1,1,0
,,CORD LOCK,# 1340089AA-0 (BKO1) (BUTTON),,,,HOOD CORD EXIT,,,,,,,,,,,1 PER SIDE = 2,,,L1,L1TA-103-18_FAIRBANKS,1,0,1,0,1,0
,,CORD LOCK,# 1340089AA-0 (BKO1) (BUTTON),,,,WAIST ADJUST DRAWCORDS,,,,,,,,,,,1 PER SIDE = 2,,,L1,L1TA-103-18_FAIRBANKS,1,0,1,0,1,0
,,DRWACORD,8MM ROUND DRAWCORD,,,,HOOD,,,,,,,,,,,,,,L1,L1TA-103-18_FAIRBANKS,1,0,1,0,1,0
,,DRWACORD,8MM ROUND DRAWCORD,,,,WAIST,,,,,,,,,,,,,,L1,L1TA-103-18_FAIRBANKS,1,0,1,0,1,0
,,DRWACORD,8MM ROUND DRAWCORD,,,,HEM,,,,,,,,,,,,,,L1,L1TA-103-18_FAIRBANKS,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-103-18_FAIRBANKS,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1TA-103-18_FAIRBANKS,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS,,,,,L1,L1TA-104-18_ANWEN,1,0,1,0,1,0
,, #5 VISLON ZIPPER,YKK / 2-WAY SEMI AUTO LOCKING WITH 2 L1 CUSTOM PULLS,,,,CENTER FRONT,,,,,,,,,,,1,,,L1,L1TA-104-18_ANWEN,1,0,1,1,1,0
,, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,,,,UNDERARM VENTS,,,,,,,,,,,1 PER SIDE = 2,,,L1,L1TA-104-18_ANWEN,1,0,1,1,1,0
,, #5 METAL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,,,,HAND POCKETS VERTICAL,,,,,,,,,,,1 PER SIDE = 2,,,L1,L1TA-104-18_ANWEN,1,0,1,1,1,0
,, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,,,,LINING POCKET VERTICAL,,,,,,,,,,,1,,,L1,L1TA-104-18_ANWEN,1,0,1,1,1,0
,,CORD LOCK,SV160819-4A,,,,HEM ADJUST,,,,,,,,,,,1 PER SIDE = 2,,,L1,L1TA-104-18_ANWEN,1,0,1,0,1,0
,,BEAD,SV160725-1A,,,,HEM ADJUST,,,,,,,,,,,,,,L1,L1TA-104-18_ANWEN,1,0,1,0,1,0
,,GROSGRAIN,," 1/4""",,,ATTACH KEYCLIP RIGHT HAND POCKET ,,,,,,,,,,,,,,L1,L1TA-104-18_ANWEN,1,0,1,0,1,0
,,ELASTIC,," 1/4"" ",,,LINING CABLE GUIDE,,,,,,,,,,,,,,L1,L1TA-104-18_ANWEN,1,0,1,0,1,0
,,SHOCKCORD,L1-2018-TRIM-030 2-COLOR SHOCKCORD 3.5mm (HEATHERED 2 COLOR MIX) ,,,,HOOD & HEM,,,,,,,,,,,,,,L1,L1TA-104-18_ANWEN,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-104-18_ANWEN,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1TA-104-18_ANWEN,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS,,,,,L1,L1TA-105-18_PROWLER,1,0,1,0,1,0
,,SHOCKCORD,L1-2018-TRIM-030 2-COLOR SHOCKCORD 3.5mm (HEATHERED 2 COLOR MIX) ,,,,HOOD & HEM,,,,,,,,,,,,,,L1,L1TA-105-18_PROWLER,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-105-18_PROWLER,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1TA-105-18_PROWLER,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS,,,,,L1,L1TA-106-18_LALENA,1,0,1,0,1,0
,, #5 VISLON ZIPPER,YKK / 1-WAY SEMI AUTO LOCKING WITH 1 L1 CUSTOM PULL,,,,CENTER FRONT,,,,,,,,,,,1,,,L1,L1TA-106-18_LALENA,1,0,1,1,1,0
,, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,,,,UNDERARM VENTS,,,,,,,,,,,1 PER SIDE = 2,,,L1,L1TA-106-18_LALENA,1,0,1,1,1,0
,,CORD LOCK,SV160819-4A,,,,HEM ADJUST,,,,,,,,,,,1 PER SIDE = 2,,,L1,L1TA-106-18_LALENA,1,0,1,0,1,0
,,BEAD,SV160725-1A,,,,HEM ADJUST,,,,,,,,,,,,,,L1,L1TA-106-18_LALENA,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-106-18_LALENA,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1TA-106-18_LALENA,1,0,1,0,1,0
,,SHOCKCORD,L1-2018-TRIM-030 2-COLOR SHOCKCORD 3.5mm (HEATHERED 2 COLOR MIX) ,,,,HOOD & HEM,,,,,,,,,,,,,,L1,L1TA-106-18_LALENA,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS,,,,,L1,L1TA-107-17_MOONAGE,1,0,1,0,1,0
,,INSULATION,"60G ""CS"" POLYFILL",60G,,,,,,,,,,,,,,,,,L1,L1TA-107-17_MOONAGE,1,1,0,0,1,0
,,Thread,10-12 SPI,#604,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-107-17_MOONAGE,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS,,,,,L1,L1TA-107-18_NIGHTINGALE,1,0,1,0,1,0
,,INSULATION,"60G ""PINNECO CORE"" ALL OVER",60G,,,,,,,,,,,,,,,,,L1,L1TA-107-18_NIGHTINGALE,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-107-18_NIGHTINGALE,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1TA-107-18_NIGHTINGALE,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-108-18_STRANGE LOVE FLANNEL,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1TA-108-18_STRANGE LOVE FLANNEL,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,TSGS,,,,,L1,L1TA-201-18_LORETTA OVERALL,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-201-18_LORETTA OVERALL,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1TA-201-18_LORETTA OVERALL,1,0,1,0,1,0
,,HANGTAG,PANT FIT HANG TAG SLIM FIT OVERALL,,,,SLIM FIT OVERALL,,,,,,,,,,,,,,L1,L1TA-201-18_LORETTA OVERALL,1,0,1,0,1,0
,,INSULATION,40G POLYFILL KNEES & SEAT,60G,,,POLYFILL KNEES & SEAT,,,,,,,,,,,,,,L1,L1TA-203-17_SIREN PANT,1,1,0,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,TSGS,,,,,L1,L1TA-203-17_SIREN PANT,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2 # 604 TSEU,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-203-17_SIREN PANT,1,0,1,0,1,0
,,Thread,8-10  SPI,# 604 TSEU,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1TA-203-17_SIREN PANT,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,TSGS,,,,,L1,L1TA-203-18-A_SIREN,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2 # 604 TSEU,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-203-18-A_SIREN,1,0,1,0,1,0
,,Thread,8-10  SPI,# 604 TSEU,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1TA-203-18-A_SIREN,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1TA-203-18-A_SIREN,1,0,1,0,1,0
,,HANGTAG,PANT FIT HANG TAG SLIM FIT OVERALL,,,,SLIM FIT OVERALL,,,,,,,,,,,,,,L1,L1TA-203-18-A_SIREN,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,TSGS,,,,,L1,L1TA-203-18-B_SIREN,1,0,1,0,1,0
,,INSULATION,40G PINNECO MANTLE KNEES AND SEAT,,,,,,,,,,,,,,,,,,L1,L1TA-203-18-B_SIREN,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-203-18-B_SIREN,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1TA-203-18-B_SIREN,1,0,1,0,1,0
,,HANGTAG,PANT FIT HANG TAG SLIM FIT OVERALL,,,,SLIM FIT OVERALL,,,,,,,,,,,,,,L1,L1TA-203-18-B_SIREN,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY SEAM SEALED,,,,,,,,,TSGS,,,,,L1,L1TA-204-18_HEARTBREAKER TWILL,1,0,1,0,1,0
,, #5 COIL ZIPPER,YKK / 5C DALH 1-WAY SEMI AUTO LOCKING,,,,FLY,,,,,,,,,,,,,,L1,L1TA-204-18_HEARTBREAKER TWILL,1,0,1,1,0,0
,,KEYCLIP,AS PRODUCTION,,,,RIGHT HAND POCKET,,,,,,,,,,,1,,,L1,L1TA-204-18_HEARTBREAKER TWILL,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2 # 604 TSEU,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-204-18_HEARTBREAKER TWILL,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-204-18_HEARTBREAKER TWILL,1,0,1,0,1,0
,,Thread,,#100/2,,,BARTACKS,,,,,,,,,,,,,,L1,L1TA-204-18_HEARTBREAKER TWILL,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1TA-204-18_HEARTBREAKER TWILL,1,0,1,0,1,0
,,HANGTAG,PANT FIT HANG TAG SLIM FIT OVERALL,,,,SLIM FIT OVERALL,,,,,,,,,,,,,,L1,L1TA-204-18_HEARTBREAKER TWILL,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY SEAM SEALED,,,,,,,,,TSGS,,,,,L1,L1TA-205-18_HELLDIVER,1,0,1,0,1,0
,,INSULATION,"60g UPPER BODY, 40g SEAT AND KNEES ""PINNECO MANTLE""",,,,,,,,,,,,,,,,,,L1,L1TA-205-18_HELLDIVER,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1TA-205-18_HELLDIVER,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1TA-205-18_HELLDIVER,1,0,1,0,1,0
,,SEAM TAPE,3 LAYER SEAM TAPE,,,,FULLY TAPED,,,,,,,,,TSGS ,,,,,Nitro,N18-101_GLADES,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N18-101_GLADES,1,0,1,0,1,0
,,,HYPERBOLA / SC759-1 2L,,,,,,,,,,,,,,,,,,Nitro,N18-101_GLADES,1,1,0,0,1,0
,,,W+ / WNP122-BJ45R4 2L,,,,,,,,,,,,,,,,,,Nitro,N18-101_GLADES,1,1,0,0,1,0
,,SEAM TAPE,,,,,CRITICALLY SEAM SEALED,,,,,,,,,TSGS,,,,,Nitro,N18-102_DENALI ANORAK,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N18-102_DENALI ANORAK,1,0,1,0,1,0
,,,Lucky / LTL32523-R5-H473*2L,,,,,,,,,,,,,Lucky,LTL32523-R5-H473*2L,,,,Nitro,N18-103_JARVIS,1,1,0,0,1,0
,,,Hyperbola / SC390-7 *2L ,,,,,,,,,,,,,Hyperbola,SC390-7 *2L ,,,,Nitro,N18-103_JARVIS,1,1,0,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS ,,,,,Nitro,N18-103_JARVIS,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N18-103_JARVIS,1,0,1,0,1,0
,,,"Hyperbola / SC579-1 *2L
*(printable)",,,,,,,,,,,,,Hyperbola,SC390-7 *2L ,,,,Nitro,N18-104_POWELL,1,1,0,0,1,0
,,SEAM TAPE,,,,,CRITICALLY SEAM SEALED,,,,,,,,,TSGS,,,,,Nitro,N18-104_POWELL,1,0,1,0,1,0
,,INSULATION,40G PINNECO MANTLE ALL OVER,,,,,,,,,,,,,,,,,,Nitro,N18-104_POWELL,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N18-104_POWELL,1,0,1,0,1,0
,,INSULATION,100G PINNECO CORE ,,,,,,,,,,,,,,,,,,Nitro,N18-105_REDUCE ANORAK,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N18-105_REDUCE ANORAK,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,TSGS,,,,,Nitro,N18-106_SUMMIT PACKABLE,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N18-106_SUMMIT PACKABLE,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N18-108_ACCESS SOFTSHELL,1,0,1,0,1,0
,,,Kingwhale / KW-1925A,,,,,,,,,,,,,Kingwhale,KW-1925A,,,,Nitro,N18-109_REGULATOR FLEECE,1,1,0,0,1,0
,,,Wide +  / #MTP090-PRQFC ,,,,,,,,,,,,,Wide +,#MTP090-PRQFC ,,,,Nitro,N18-109_REGULATOR FLEECE,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N18-109_REGULATOR FLEECE,1,0,1,0,1,0
,,,HYPERBOLA / SC670-6 *2.5L MICRO RIP,,,,,,,,,,,,,HYPERBOLA ,SC670-6 *2.5L MICRO RIP,,,,Nitro,N17-112_ATACAMA PONCHO,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N17-112_ATACAMA PONCHO,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY SEAM SEALED,,,,,,,,,TSGS,,,,,Nitro,N18-201_KITAMI BIB 3L,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N18-201_KITAMI BIB 3L,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY SEAM SEALED,,,,,,,,,TSGS,,,,,Nitro,N18-202_ALTAI,1,0,1,0,1,0
,,,Hyperbola / SC670-6 2L,,,,,,,,,,,,,HYPERBOLA ,SC670-6 *2.5L MICRO RIP,,,,Nitro,N18-202_ALTAI,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N18-202_ALTAI,1,0,1,0,1,0
,,,"W+ / WNP122-BJ 4SR4 ,   2L",,,,,,,,,,,,,W+,"WNP122-BJ 4SR4 ,   2L",,,,Nitro,N18-203_INCLINE,1,1,0,0,1,0
,,SEAM TAPE,,,,,FULLY SEAM SEALED,,,,,,,,,TSGS,,,,,Nitro,N18-203_INCLINE,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N18-203_INCLINE,1,0,1,0,1,0
,,,HYPERBOLA / SC579-1 / 2L (printable),,,,,,,,,,,,,HYPERBOLA ,SC579-1 / 2L (printable),,,,Nitro,N18-204_TRAVERSE,1,1,0,0,1,0
,,SEAM TAPE,,,,,FULLY SEAM SEALED,,,,,,,,,TSGS,,,,,Nitro,N18-204_TRAVERSE,1,0,1,0,1,0
,,INSULATION,40G PINNECO MANTLE UPPER BODY ,,,,,,,,,,,,,,,,,,Nitro,N18-204_TRAVERSE,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N18-204_TRAVERSE,1,0,1,0,1,0
,,SEAM TAPE,SEAM TAPE,,,,FULLY TAPED,,,,,,,,,TSGS ,,,,,Nitro,N18-101_PALISADES,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,N18-101_PALISADES,1,0,1,0,1,0
,,,WIDE + / WNP122-BJ4SR4 *2L,,,,,,,,,,,,,WIDE + , WNP122-BJ4SR4 *2L,,,,Nitro,W18-102_FJALLKONA,1,1,0,0,1,0
,,,LICKY / C3170045-X *2L,,,,,,,,,,,,,LICKY,C3170045-X *2L,,,,Nitro,W18-102_FJALLKONA,1,1,0,0,1,0
,,SEAM TAPE,,,,,FULLY SEAM SEALED,,,,,,,,,TSGS,,,,,Nitro,W18-102_FJALLKONA,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,W18-102_FJALLKONA,1,0,1,0,1,0
,,INSULATION,40G PINNECO MANTLE UPPER BODY ,,,,,,,,,,,,,,,,,,Nitro,W18-102_FJALLKONA,1,1,0,0,1,0
,,,SOLIS/ SONR023-2L35-J,,,,,,,,,,,,,Solis,SONR023-2L35-J,,,,Nitro,W18-103_SPIRE,1,1,0,0,1,0
,,SEAM TAPE,SEAM TAPE,,,,FULLY TAPED,,,,,,,,,TSGS ,,,,,Nitro,W18-103_SPIRE,1,0,1,0,1,0
,,INSULATION,150G PINNECO CORE ALL OVER,,,,,,,,,,,,,,,,,,Nitro,W18-103_SPIRE,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,W18-103_SPIRE,1,0,1,0,1,0
,,,Lucky / C3170045-X melange*2L ,,,,,,,,,,,,,Lucky ,C3170045-X melange*2L ,,,,Nitro,W18-104_CIRQUE,1,1,0,0,1,0
,,INSULATION,60G INSULATION ALL OVER,,,,,,,,,,,,,,,,,,Nitro,W18-104_CIRQUE,1,1,0,0,1,0
,,SEAM TAPE,SEAM TAPE,,,,FULLY TAPED,,,,,,,,,TSGS ,,,,,Nitro,W18-104_CIRQUE,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,W18-104_CIRQUE,1,0,1,0,1,0
,,DRWACORD,TRIM NUMBER TO BE DETERMINED,,,,HOOD,,,,,,,,,,,,,,Nitro,W18-104_CIRQUE,1,0,1,0,1,0
,,SNAP,NITRO TRIM NUMBER //  NITRO SNAP,,,,BELOW NECK SEAM,,,,,,,,,,,,,,Nitro,W18-104_CIRQUE,1,0,1,0,1,0
,,INSULATION,40G ALL OVER,,,,,,,,,,,,,,,,,,Nitro,W18-105_AARAN,1,1,0,0,1,0
,,,HYPERBOLA / SC764 2L,,,,,,,,,,,,,HYPERBOLA,SC764 2L,,,,Nitro,W18-105_AARAN,1,1,0,0,1,0
,,SEAM TAPE,SEAM TAPE,,,,FULLY TAPED,,,,,,,,,TSGS ,,,,,Nitro,W18-105_AARAN,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,W18-105_AARAN,1,0,1,0,1,0
,,SEAM TAPE,SEAM TAPE,,,,FULLY TAPED,,,,,,,,,TSGS ,,,,,Nitro,W18-107_CRUSH PACKABLE,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,W18-107_CRUSH PACKABLE,1,0,1,0,1,0
,,INSULATION,100G PINNECO CORE ,,,,,,,,,,,,,,,,,,Nitro,W18-108_REDUCE ANORAK,1,1,0,0,1,0
,,SEAM TAPE,SEAM TAPE,,,,FULLY TAPED,,,,,,,,,TSGS ,,,,,Nitro,W18-108_REDUCE ANORAK,1,0,1,0,1,0
,,SEAM TAPE,SEAM TAPE,,,,FULLY TAPED,,,,,,,,,TSGS ,,,,,Nitro,W18-201_YAMANOUCHI BIB,1,0,1,0,1,0
