,,,,,position,,color_way,color_way,color_way,color_way,,MATERIAL_ID,CATEGORY
27,27.0,BB,Zipper,YKK  No.5 nylon coil zippers.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN),( 2) hand pockets,2,BLACK,BLACK,OXBLOOD 097,CAMEL 161,AB18MJ1_032,,
28,28.0,CC,Zipper,"YKK  No.5 nylon coil zippers,1-way hidden chain.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN)", vents,2,BLACK,BLACK,OXBLOOD 097,CAMEL 161,AB18MJ1_032,,
29,29.0,DD,Zipper,"YKK  No.5 nylon coil zippers hidden chain ,auto-lock slider DA8LH1 (zipper closes UP)",1 internal pocket at w.'s inside LEFT,1,BLACK,BLACK,OXBLOOD 097,CAMEL 161,AB18MJ1_032,,
30,30.0,EE,Zipper Pull,ABZP_01 Utility cord zipper pullers with tied end  (supplied by Wei Rong),"(2) pockets, (1) C.F. (2) vents,  (1) inside pocket",6,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,,
31,31.0,,,,,,,,,,AB18MJ1_032,,
32,32.0,,,,,TRIMS,,,,,AB18MJ1_032,,
33,33.0,FF,Stoppers,Round Barrel stopper - K-018 , (2) hood,2,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032,,
34,34.0,GG,Stoppers,K343-2N push stoppers,(2) bottom hem,2,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032,,
35,35.0,HH,Hand Pulls,Plastic hand pulls ZP11 , (2) bottom hem,2,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032,,
36,36.0,II,Webbing,"Flat Webbing Tape, 8mm", key clip attachment at inside wearer's right pocket,1,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,,
37,37.0,JJ,Webbing,flat webbing tape 8mm width, (2)Stopper attachments loops at bottom hem,2,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,,
38,38.0,KK,Hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,AB18MJ1_032,,
39,39.0,LL,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm (incl. washers)"," (1) snap tabs at inside bottom hem,  (2) at powder skirt",3,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,AB18MJ1_032,,
40,40.0,MM,Hardware,Male snap only (incl. washers),(2) powder skirt,2,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,MATTE BLACK BI-48,AB18MJ1_032,,
41,41.0,NN, Drawcord,Flat Shoelace drawcord WITH Black Oxidize finish METAL ENDS  w: 1 cm ,Hood Opening,1,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032,,
42,42.0,OO,Elastic Drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,BLACK,DARK OLIVE,BLACK,BLACK,AB18MJ1_032,,
43,43.0,PP,Key Clip,plastic key clip attched with webbing loop,Inside wearers right pocket.,1,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,,
44,44.0,QQ,Main Label,ABWV_67 Freedom Main Label,"inside c.b. neck, see Q/A for placement",1,GOLD/BLACK,GOLD/BLACK,GOLD/BLACK,GOLD/BLACK,AB18MJ1_032,,
45,45.0,RR,Size Label,ABWV_69V Vietnam Size Label,sewn in and centered below main label,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MJ1_032,,
46,46.0,SS,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,,
47,47.0,TT,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back neck seam,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MJ1_032,,
48,48.0,UU,Flag  Label,ABLT_01 Flag Label (Pill logo side),RIGHT vent 2cm from bottom of vent,1,BLACK/WHITE,BLACK/WHITE,BLACK/WHITE,BLACK/WHITE,AB18MJ1_032,,
49,49.0,VV,Branding,ABPR_10 Large Airpill Print,"Centered on wearer's back, see artwork palcement for detail",1,BLACK,BLACK,OXBLOOD 19-1331TPX,CAMEL 17-1019TPX,AB18MJ1_032,,
50,50.0,WW,Branding,ABWV_103 Awesome Woven Label,"LEFT chest, see art placement for detail",1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MJ1_032,,
51,51.0,,,,,,,,,,AB18MJ1_032,,
52,52.0,,,,,HANGTAGS/PACKAGING,,,,,AB18MJ1_032,,
53,53.0,XX,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MJ1_032,,
54,54.0,YY,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MJ1_032,,
55,55.0,ZZ,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,CLEAR,CLEAR,CLEAR,CLEAR,AB18MJ1_032,,
56,56.0,AAA,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,TBD,TBD,TBD,TBD,AB18MJ1_032,,
57,57.0,BBB,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,TBD,TBD,TBD,TBD,AB18MJ1_032,,
58,58.0,,,,,,,,,,,,
59,59.0,SPECIAL INSTRUCTIONS:,,,,,,,,,,,
60,60.0,1,STITCHING:,"Top stitch 1/16"", serge all linings, single needle",,,,,,,,,
61,61.0,2,STITCHES PER INCH:,8-10,,,,,,,,,
62,62.0,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,,,,
63,63.0,4,BARTACK:,At stress points,,,,,,,,,
64,64.0,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,,,,
65,65.0,6,GROMMETS/SNAPS:,Should have pellon backing,,,,,,,,,
66,66.0,7,THREAD COLOR:,"Matches fabric color, unless noted above",,,,,,,,,
