,,,,,position,,color_way,color_way,color_way,color_way,,MATERIAL_ID,CATEGORY
0,0.0,AIRBLASTER,,,,,Style Number: AB18MJ1_032,,,,,,
1,1.0,,,,,,Designer:   JG,,,,,,
2,2.0,,,,,,Season: Winter 2017/18,,,,,,
3,3.0,,,Insulation:,100gm in the body hood sleeves,,Collection: Freedom,,,,,,
4,4.0,Style Name:,,Seams:,Critically Taped,,Vendor: Soluna,,,,,,
5,5.0,Toaster Jacket,,MM Rating:,,,,,,,,,
6,6.0,,,,,,,,,,,,
7,7.0,,,Highlighted = changes,,,,,,,,,
8,8.0,,Updated: 6.8.16,,,,COLOR #1,COLOR #2,COLOR #3,COLOR #4,,,
9,9.0,,MATERIAL/TRIM,DESCRIPTION,LOCATION,QTY,VINTAGE BLACK,DINOFLAGE,BLACK,DARK NAVY,,,
10,10.0,,,,,FABRICS & LININGS,,,,,,,
11,11.0,A,Shell Fabric,SOTD109-C1-Y 100% Polyester 10K/8K 10K/8K +2-Layer +breathable coating+DWR (supplied by SOLIS),Main body,,VINTAGE BLACK,,BLACK,DARK NAVY,AB18MJ1_032,,
12,12.0,B,Shell Fabric,SOTD109-PR01-Y 100% Polyester 10K/8K 10K/8K +2-Layer +breathable coating+DWR (supplied by SOLIS),Main body,,,DINOFLAGE,,,AB18MJ1_032,,
13,13.0,C,Shell Fabric,SOTP069-C1-H 100% Polyester 10K/8K 15k/10k+2-Layer +breathable coating+DWR (supplied by SOLIS),"Sleeves, hood",,BLACK,BLACK,OXBLOOD,CAMEL,AB18MJ1_032,,
14,14.0,D,Lining,210T-E EMB07 Tery Emboss  Taffeta(Supplied by Ecoya),"Inside lining, powder skirt, pocket bag",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,,
15,15.0,E,Other , Velvety Tricot - SOTO048-1 (supplied by Solis),"Comfort chin guard, inner front pocket bag panel",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,,
16,16.0,F,Other,100% poly MESH - SOTC025-1 (supplied by Solis),"vents, internal goggle pocket",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,,
17,17.0,G,Other,nylon/elastic lycra - SONO029-1 (supplied by Solis),powder skirt,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,,
18,18.0,H,Other,"1x1 rib knit,good quality Arcylic/Spandex",Cuffs,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,,
19,19.0,I,Other,Lycra binding tape,Internal mesh pocket opening,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,,
20,20.0,J,Other,Gripper elastic,powder skirt,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_032,,
21,21.0,K,Other,100gm Insulation,"Main body, hood, sleeves",,,,,,AB18MJ1_032,,
22,22.0,L,Pellon,lightweight interfacing (item# TBD),"Inner storm flap, powder skirt closure flaps",,WHITE,WHITE,WHITE,WHITE,AB18MJ1_032,,
23,23.0,M,Pellon,heavyweight interfacing (item# TBD),hood brim,,WHITE,WHITE,WHITE,WHITE,AB18MJ1_032,,
24,24.0,K,,,,,,,,,AB18MJ1_032,,
25,25.0,L,,,,ZIPPERS,,,,,AB18MJ1_032,,
26,26.0,AA,Zipper,"YKK No.8 Vislon 2 way  zipper.  Auto-lock slider DA8LH, Silders bottom to bottom   (Right hand pull left hand insert)",C.F.,1,BLACK,BLACK,OXBLOOD 097,CAMEL 161,AB18MJ1_032,,
