,MATERIAL_ID,,,,position,,color_way,color_way,color_way,color_way,,CATEGORY
0,3.0,,,Insulation:,"60gm Insulation at body sleeve,hood",,Collection: Freedom,,,,,
1,10.0,,,,,FABRICS & LININGS,,,,,,
2,11.0,A,Shell Fabric,SOTD109-C1-Y 100% Polyester 10K/8K 10K/8K +2-Layer +breathable coating+DWR (supplied by SOLIS),"Main body, sleeves, collar, pockets",,BLACK,KOMBU GREEN,KHAKI,DARK NAVY,AB18MJ2_081,
3,12.0,B,Shell Fabric,SOTP069-C1-H 100% Polyester 10K/8K 15k/10k+2-Layer +breathable coating+DWR (supplied by SOLIS),Hood,,CAMEL,BLACK,BLACK,OXBLOOD,AB18MJ2_081,
4,13.0,C,Lining,210T-E EMB07 Terry Emboss Taffeta (Supplied by Ecoya),"Inside lining, powder skirt, pocket bag",,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081,
5,14.0,D,Other , Velvety Tricot - SOTO048-1 (supplied by Solis),"Comfort chin guard, inner front pocket bag panel",,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081,
6,15.0,E,Other,100% poly MESH - SOTC025-1 (supplied by Solis),"vents, internal goggle pocket",,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081,
7,16.0,F,Other,nylon/elastic lycra - SONO029-1 (supplied by Solis),"powder skirt, wrist gators",,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081,
8,17.0,G,Other,Lycra binding tape,Internal mesh pocket opening,,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081,
9,18.0,H,Other,Gripper elastic,powder skirt,,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081,
10,19.0,I,Other,60gm Insulation,"Main body hood, sleeves",,,,,,AB18MJ2_081,
11,20.0,J,Pellon,lightweight interfacing (item# TBD),"Inner storm flap, powder skirt closure flaps",,WHITE,WHITE,WHITE,WHITE,AB18MJ2_081,
12,21.0,K,Pellon,heavyweight interfacing (item# TBD),hood brim,,WHITE,WHITE,WHITE,WHITE,AB18MJ2_081,
13,23.0,L,,,,ZIPPERS,,,,,AB18MJ2_081,
14,24.0,AA,Zipper,"YKK No.5 coil zipper.  Auto-lock slider DA8LH,   (Right hand pull left hand insert)",C.F.,1,CAMEL 161,BLACK,BLACK,OXBLOOD 097,AB18MJ2_081,
15,25.0,BB,Zipper,YKK  No.5 nylon coil zippers.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN),( 2) hand pockets,2,CAMEL 161,BLACK,BLACK,OXBLOOD 097,AB18MJ2_081,
16,26.0,CC,Zipper,"YKK  No.5 nylon coil zippers,1-way hidden chain.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN)", vents,2,CAMEL 161,BLACK,BLACK,OXBLOOD 097,AB18MJ2_081,
17,27.0,DD,Zipper,"YKK  No.5 nylon coil zippers hidden chain ,auto-lock slider DA8LH1 (zipper closes UP)",1 internal pocket at w.'s inside LEFT,1,CAMEL 161,BLACK,BLACK,OXBLOOD 097,AB18MJ2_081,
18,28.0,EE,Zipper Pull,ABZP_01 Utility cord zipper pullers with tied end  (supplied by Wei Rong),"(2) pockets, (1) C.F. (2) vents,  (1) inside pocket",6,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081,
19,31.0,FF,Stoppers,Round Barrel stopper - K-018 ,(2) hood,2,BLACK,BLACK,DARK OLIVE,BLACK,AB18MJ2_081,
20,32.0,GG,Stoppers,K343-2N push stoppers,(2) bottom hem,2,BLACK,BLACK,DARK OLIVE,BLACK,AB18MJ2_081,
21,33.0,HH,Hand Pulls,Plastic hand pulls ZP11 , (2) bottom hem,2,BLACK,BLACK,DARK OLIVE,BLACK,AB18MJ2_081,
22,34.0,II,Webbing,"Flat Webbing Tape, 8mm", key clip attachment at inside wearer's right pocket,1,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081,
23,35.0,JJ,Webbing,flat webbing tape 8mm width, (2)Stopper attachments loops at bottom hem,2,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081,
24,36.0,KK,Hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,AB18MJ2_081,
25,37.0,LL,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm (incl. washers)"," (6) C.F., (2) cuffs, (1) snap tabs at inside bottom hem,  (2) at powder skirt",11,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,AB18MJ2_081,
26,38.0,MM,Hardware,Male snap only (incl. washers),(2) powder skirt (2) cuffs,4,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,AB18MJ2_081,
27,39.0,NN, Drawcord,Flat Shoelace drawcord WITH Black Oxidize finish METAL ENDS  w: 1 cm ,hood,1,BLACK,BLACK,DARK OLIVE,BLACK,AB18MJ2_081,
28,40.0,OO,Elastic Drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,BLACK,BLACK,DARK OLIVE,BLACK,AB18MJ2_081,
29,41.0,PP,Key Clip,plastic key clip attched with webbing loop,Inside wearers right pocket.,1,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081,
30,42.0,QQ,Main Label,ABWV_67 Freedom Main Label,"inside c.b. neck, see Q/A for placement",1,GOLD/BLACK,GOLD/BLACK,GOLD/BLACK,GOLD/BLACK,AB18MJ2_081,
31,43.0,RR,Size Label,ABWV_69V Vietnam Size Label,sewn in and centered below main label,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MJ2_081,
32,44.0,SS,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK,AB18MJ2_081,
33,45.0,TT,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back neck seam,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MJ2_081,
34,46.0,VV,Branding,ABPA_22 Workwear Label,"LEFT chest, see art placement page for detail",1,BROWN,BROWN,BROWN,BROWN,AB18MJ2_081,
35,49.0,WW,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MJ2_081,
36,50.0,XX,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MJ2_081,
37,51.0,YY,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,CLEAR,CLEAR,CLEAR,CLEAR,AB18MJ2_081,
38,52.0,ZZ,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,TBD,TBD,TBD,TBD,AB18MJ2_081,
39,53.0,AAA,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,TBD,TBD,TBD,TBD,AB18MJ2_081,
40,58.0,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,,,
41,60.0,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,,,
