,MATERIAL_ID,fabric,fabric,fabric,fabric,color_way,color_way,color_way,color_way,CATEGORY
0,6.0,INSULATION:,,NON INSULATED,,,TARGET FOB:,,,
1,10.0,"20K/20K 3Layer
printable tricot on inside
",LUCKY / 20K/20K LTC32509-R5-H474 3L /  C6 DWR 80/10,A,100% POLYESTER,BLACK,SILT,WALNUT,DUSTY GREEN,
2,13.0,NON INSULATED,,,,,,,,
3,19.0,,3 LAYER NOT LINED,CHEST POCKET BAGS,,,,,,
4,20.0,SOLID COATED 210T,SOLIS / SONP006-PU03,POWDER SKIRT,100% POLYESTER,BLACK,BLACK,BLACK,BLACK,
5,21.0,BRUSHED TRICOT,3 LAYER NOT LINED, HAND POCKET BAGS,,,,,,
6,22.0,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,BLACK,BLACK,BLACK,BLACK,
7,23.0,"20K/20K 3Layer
printabel at inside, waiting for price with print

",LUCKY / LTC32509-R5-H474 3L ,MEDIA POCKET,,BLACK,SILT,WALNUT,DUSTY GREEN,
8,24.0,POWER STRETCH MESH ,SUPPLIER / REF CODE,"UNDERARM VENTS, BREATHING VENTS",100% POLYESTER,BLACK,BLACK,BLACK,BLACK,
9,25.0,POWER STRETCH MESH ,SUPPLIER / REF CODE,GOGGLE POCKET,100% POLYESTER,BLACK,BLACK,BLACK,BLACK,
10,26.0,STRETCH LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,BLACK,BLACK,BLACK,BLACK,
