,Style,position,ref num,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
35,N18-103 JARVIS_TRIMS.csv,velcro,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
36,N18-103 JARVIS_TRIMS.csv," 1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 on placket paiho / hooketn7 on body,chin,,match to shell,,,,,1
37,N18-103 JARVIS_TRIMS.csv," 1/2"" x 2"" velcro with rounded corners",paiho / loop#1057 on placket paiho / hooketn7 on body,center front placket,,match to shell,,,,,4
38,N18-103 JARVIS_TRIMS.csv,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,cuff on body,,match to shell,,,,,1 per side = 2
39,N18-103 JARVIS_TRIMS.csv,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,,match to shell,,,,,1 per side = 2
40,N18-103 JARVIS_TRIMS.csv,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
41,N18-103 JARVIS_TRIMS.csv,labels ,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
42,N18-103 JARVIS_TRIMS.csv,hang tags,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
43,N18-103 JARVIS_TRIMS.csv,care and content labels,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,W18-202 ELBRUS 2L_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,W18-202 ELBRUS 2L_SHELL.csv,polyfill,"pinneco
mantle-b-040-152",upper body,100% polyester,40g,,,,,
2,W18-202 ELBRUS 2L_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,W18-202 ELBRUS 2L_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
4,W18-202 ELBRUS 2L_SHELL.csv,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,
5,W18-202 ELBRUS 2L_SHELL.csv,solid 210t ,solis / sonp006-1,back pocket bag,100% nylon,color,,,,,
6,W18-202 ELBRUS 2L_SHELL.csv,solid coated 210t,solis / sonp006-pu03,lower leg facing & gaiter,100% nylon,color,,,,,
7,W18-202 ELBRUS 2L_SHELL.csv,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,color,,,,,
8,W18-202 ELBRUS 2L_SHELL.csv,power stretch mesh,supplier / ref code,leg vents,100% polyester,color,,,,,
0,N18-101-GLADES_TRIMS.csv, #5 coil zipper,ykk / dalh/dag 2-way semi auto locking,center front,,silder/pull color: tbd zipper tape color: black,,,,,1
1,N18-101-GLADES_TRIMS.csv,#5 vislon aquaguard matte film (5vt9),ykk /  1-way dfw short non locking,chest pocket vertical,,silder/pull color: tbd zipper tape color: black,,,,,1
2,N18-101-GLADES_TRIMS.csv,#5 vislon aquaguard matte film (5vt9),ykk /  1-way dfw short non locking,sleeve pocket,,silder/pull color: tbd zipper tape color: black,,,,,1
3,N18-101-GLADES_TRIMS.csv,#3 aquaguard coil zipper with matte transparent film (5cnt10),ykk /  1-way dfw short non locking,underarm vents,,silder/pull color: tbd zipper tape color: black,,,,,1 per side = 2
4,N18-101-GLADES_TRIMS.csv, #5 coil zipper,ykk /  1-way dfw short non locking,hand pockets horizontal,,silder/pull color: tbd zipper tape color: black,,,,,1 per side = 2
5,N18-101-GLADES_TRIMS.csv, #3 coil zipper,ykk /  1-way dfw short non locking,lining pocket vertical,,silder/pull color: tbd zipper tape color: black,,,,,1
6,N18-101-GLADES_TRIMS.csv,additional zipper pulls,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
7,N18-101-GLADES_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,center front 1 top pull only,,color,,,,,1
8,N18-101-GLADES_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,sleeve pocket,,color,,,,,1
9,N18-101-GLADES_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,underarm vents,,color,,,,,1 per side = 2
10,N18-101-GLADES_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,hand pockets horizontal,,color,,,,,1 per side = 2
11,N18-101-GLADES_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,lining pocket vertical,,color,,,,,1
12,N18-101-GLADES_TRIMS.csv,branded trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
13,N18-101-GLADES_TRIMS.csv,nitro trim number //  metal snap,xxx,chin,,color,,,,,1
14,N18-101-GLADES_TRIMS.csv,powder skirt gripper elastic ,"nitro embossed 
petersham tape 
(e1342816 20mm)
chun wo ho",powder skirt gripper elastic ,,color,,,,,1
15,N18-101-GLADES_TRIMS.csv,goggle pocket binding,chun wo ho,goggle pocket opening,,color,,,,,1
16,N18-101-GLADES_TRIMS.csv,joey cord keep 3mm,woojin/ w863,lining center front chest,,black,,,,,1
17,N18-101-GLADES_TRIMS.csv,trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
18,N18-101-GLADES_TRIMS.csv,15mm metal snap,luk's / 404,hidden at hem,,metal color,,,,,1 set
19,N18-101-GLADES_TRIMS.csv,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,,metal color,,,,,1 male 1 female
20,N18-101-GLADES_TRIMS.csv,15mm metal snap,luk's / 404,powder skirt - front closure,,metal color,,,,,"1 female, 2 male"
21,N18-101-GLADES_TRIMS.csv,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection on tabs,,metal color,,,,,3 sets
22,N18-101-GLADES_TRIMS.csv,8mm metal eyelet,luk's / et04,front hood adjust,,metal color,,,,,2 per side = 4
23,N18-101-GLADES_TRIMS.csv,8mm metal eyelet,luk's / et04,hem adjust ,,metal color,,,,,2 per side = 4
24,N18-101-GLADES_TRIMS.csv,metal eyelets 11mm ,luk's / et89,back hood adjust,,metal color,,,,,1
25,N18-101-GLADES_TRIMS.csv,notions,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
26,N18-101-GLADES_TRIMS.csv,"grosgrain 1/4""",xxx,attach front hood cord lock,,color,,,,,1 per side = 2
27,N18-101-GLADES_TRIMS.csv,"grosgrain 3/8""",xxx,attach hem cord lock,,color,,,,,1 per side = 2
28,N18-101-GLADES_TRIMS.csv,"grosgrain 3/8""",xxx,attach back hood cord lock,,color,,,,,1
29,N18-101-GLADES_TRIMS.csv,"grosgrain 1/4""",xxx,attach keyclip right hand pocket ,,color,,,,,1
30,N18-101-GLADES_TRIMS.csv,"grosgrain 3/4"" x 1"" ",xxx,powder skirt jacket to pant connection tabs behind snaps,,color,,,,,1
31,N18-101-GLADES_TRIMS.csv,"elastic 3/4"" (cb 3/4 x 4"") (side tabs 3/4 x 3 1/4""",xxx,powder skirt jacket to pant connection tabs,,color,,,,,3 pieces 
32,N18-101-GLADES_TRIMS.csv,shockcord,xxx,hood,,color,,,,,1
33,N18-101-GLADES_TRIMS.csv,shockcord,xxx,hem,,color,,,,,1
34,N18-101-GLADES_TRIMS.csv,"elastine tape (used in 1"" x1 1/2"" welt)",xxx,lining media pocket cord exit,,color,,,,,1
35,N18-101-GLADES_TRIMS.csv,bonding film,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,1
36,N18-101-GLADES_TRIMS.csv,velcro,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
37,N18-101-GLADES_TRIMS.csv,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,inset cuff on body,,match to shell,,,,,1 per side = 2
38,N18-101-GLADES_TRIMS.csv,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,,match to shell,,,,,1 per side = 2
39,N18-101-GLADES_TRIMS.csv,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
40,N18-101-GLADES_TRIMS.csv,labels ,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
41,N18-101-GLADES_TRIMS.csv,hang tags,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
42,N18-101-GLADES_TRIMS.csv,care and content labels,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,season:,,winter 2018/2019,,,,,,,
1,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,style number:,,w18-201,,,,,,,
2,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,style name:,,yamanouchi bib,,,,,,,
3,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,waterproof/breathability:,,20k/25k,,,,,,,
4,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,seam sealing:,,fully seam sealed,,,,,,,
5,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,insulation:,,not insulated,,,,,,,
6,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,zippers,supplier/ reference number,location,,,,,,,amount
7,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv, #5 coil zipper,ykk/  dfw short non lock,chest pocket,,,,,,,1 per side = 2
8,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv, #5 coil zipper,ykk /  1-way dfw short non locking,hand pockets,,,,,,,1 per side = 2
9,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,#5 aquaguard coil zipper with matte transparent film (5cnt10),ykk/  dfw short non lock,horseshoe shaped back entry,,,,,,,1
10,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv, #5 coil zipper,ykk /  1-way dfw short non locking,back pockets horizontal,,,,,,,1 per side = 2
11,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv, #5 coil zipper,ykk / dalh 1-way semi auto locking,hem gusset ,,,,,,,1 per side = 2
12,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,additional zipper pulls,supplier/ reference number,location,,,,,,,amount
13,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,chest pocket,,,,,,,1 per side = 2
14,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,hand pockets,,,,,,,1 per side = 2
15,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,horseshoe shaped back entry,,,,,,,1 per side = 2
16,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,back pockets horizontal,,,,,,,1 per side = 2
17,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,branded trims,supplier/ reference number,location,,,,,,,amount
18,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,nitro trim number (?)/ nitro embossed suspender elastic,chun wo ho / e1343016 38mm,shoulder straps,,,,,,,1 per side= 2
19,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,heat transfer,sealon/,back left leg,,,,,,,1
20,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,nitro trim number n18-trim-020 / nitro gripper elastic,chun wo ho/ e1337216 25mm,gaiter hems,,,,,,,2
21,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,trims,supplier/ reference number,location,,,,,,,amount
22,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,15mm metal snap,xxx,"""village hem"" leg snaps",,,,,,,1 per side = 2
23,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,boot hook,xxx,front gaiter,,,,,,,1 per side = 2
24,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,keyclip,xxx,right hand pocket,,,,,,,1
25,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,clip,"duraflex/
simplex buckle (38mm) 11-90298-000000
11-90299-000000",buckle on suspender elastic straps,,,,,,,1 per side = 2
26,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,tpr sliplok,"duraflex/
(38mm) tpr sliplok #2-04428",adjust on suspender elastic straps,,,,,,,1 per side = 2
27,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,notions,supplier/ reference number,location,,,,,,,amount
28,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,grosgrain,xxx,"under ""village hem"" leg snaps",,,,,,,1 per side = 2
29,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,grosgrain,xxx,under boot hook,,,,,,,1 per side = 2
30,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,"grosgrain 1/4""",xxx,right hand pocket attach keyclip,,,,,,,1
31,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,elastic,,waist band adjust,,,,,,,1 per side = 2
32,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,bonding film,supplier/ reference number,location,,,,,,,amount
33,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,bonding film,xxx,waist adjust tabs,,,,,,,1 per side = 2
34,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,bonding film,xxx,hand pocket zipper garages / welts,,,,,,,1 per side = 2
35,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,bonding film,xxx,hem gusset welts,,,,,,,1 per side = 2
36,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,bonding film,xxx,back pocket flaps,,,,,,,1 per side = 2
37,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,velcro,supplier/ reference number,location,,,,,,,amount
38,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,"1"" x 4"" velcro with rounded corners",paiho loop #1057 ,waist adjust - on body,,,,,,,1 per side = 2
39,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,"1"" x 2"" velcro with rounded corners",paiho hook etn7 on flap,waist adjust - on tabs,,,,,,,1 per side = 2
40,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,"1/2"" x 1 1/2"" velcro with rounded corners",paiho loop #1057 on bag / paiho hook etn7 on flap,back pocket flaps (hidden),,,,,,,"1 set per side = 
2 sets"
41,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,thread,spi,supplier/ ref number,,,,,,,amount
42,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,seams,10-12 spi,Feb-30,,,,,,,
43,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,topstitch,8-10 spi,Feb-30,,,,,,,
44,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,bartacks,,100 / 2,,,,,,,
45,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,labels ,supplier/ reference number,location,,,,,,,amount
46,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,main label,,center back waist band lining,,,,,,,1
47,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,hang tags,supplier/ reference number,location,,,,,,,amount
48,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,main hang tag,,left hand pocket zipper,,,,,,,1
49,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,care and content labels,supplier/ reference number,location,,,,,,,amount
50,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,address label,factory sourced,lining left side seam,,,,,,,1
51,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,content label,factory sourced,lining left side seam,,,,,,,1
52,W18-201_YAMANOUCHI_BIB 3L_TRIMS.csv,washing label,factory sourced,lining left side seam,,,,,,,1
0,N18-202 ALTAI_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,N18-202 ALTAI_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,N18-202 ALTAI_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,N18-202 ALTAI_SHELL.csv,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,
4,N18-202 ALTAI_SHELL.csv,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,,,,,
5,N18-202 ALTAI_SHELL.csv,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,color,,,,,
6,N18-202 ALTAI_SHELL.csv,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,color,,,,,
7,N18-202 ALTAI_SHELL.csv,power stretch mesh,supplier / ref code,leg vents,100% polyester,color,,,,,
0,W18-107 CRUSH PACKABLE_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,W18-107 CRUSH PACKABLE_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,W18-107 CRUSH PACKABLE_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,W18-107 CRUSH PACKABLE_SHELL.csv,brushed tech mesh,supplier / ref code,chin facing,100% polyester,color,,,,,
4,W18-107 CRUSH PACKABLE_SHELL.csv,solid 210t ,solis / sonp006-1,pocket bags (top hand),100% nylon,color,,,,,
5,W18-107 CRUSH PACKABLE_SHELL.csv,mesh,supplier / ref code,pocket bags (palm side),100% polyester,color,,,,,
0,W18-108 REDUCE ANORAK_TRIMS.csv,#5 vislon,ykk / dalh 1-way semi auto locking,center front,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
1,W18-108 REDUCE ANORAK_TRIMS.csv,#5 vislon,ykk / dfw short 1-way non locking,hand pockets vertical,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
2,W18-108 REDUCE ANORAK_TRIMS.csv,additional zipper pulls,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
3,W18-108 REDUCE ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,center front,,color,,,,,1
4,W18-108 REDUCE ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,,color,,,,,1 per side = 2
5,W18-108 REDUCE ANORAK_TRIMS.csv,branded trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
6,W18-108 REDUCE ANORAK_TRIMS.csv,nitro faux suede patch/ n19-trim002,chun wo ho/ m1494817,front left hem,,color,,,,,1
7,W18-108 REDUCE ANORAK_TRIMS.csv,"nitro embossed 
petersham logo binding tape","chun wo ho
e1342816 20mm",hood and sleeve hems,,color,,,,,3
8,W18-108 REDUCE ANORAK_TRIMS.csv,trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
9,W18-108 REDUCE ANORAK_TRIMS.csv,notions,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
10,W18-108 REDUCE ANORAK_TRIMS.csv,velcro,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
11,W18-108 REDUCE ANORAK_TRIMS.csv,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
12,W18-108 REDUCE ANORAK_TRIMS.csv,labels ,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
13,W18-108 REDUCE ANORAK_TRIMS.csv,hang tags,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
14,W18-108 REDUCE ANORAK_TRIMS.csv,care and content labels,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,N18-106 SUMMIT PACKABLE_TRIMS.csv,#5 aquaguard coil zipper with matte transparent film (5cnt10),ykk / dalh/dag 2-way semi auto locking,center front,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
1,N18-106 SUMMIT PACKABLE_TRIMS.csv,#5 coil zipper,non ykk / dfw short 1-way non locking,chest pocket horizontal,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
2,N18-106 SUMMIT PACKABLE_TRIMS.csv,#5 coil zipper,non ykk / dfw short 1-way non locking,hand pockets vertical,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1 per side = 2
3,N18-106 SUMMIT PACKABLE_TRIMS.csv,additional zipper pulls,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
4,N18-106 SUMMIT PACKABLE_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,center front,,color,,,,,1
5,N18-106 SUMMIT PACKABLE_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,chest pocket,,color,,,,,1
6,N18-106 SUMMIT PACKABLE_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,,color,,,,,1 per side = 2
7,N18-106 SUMMIT PACKABLE_TRIMS.csv,branded trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
8,N18-106 SUMMIT PACKABLE_TRIMS.csv,"nitro trim number: n18-trim-009
nitro speech bubble 
heat transfer 3cm x 3cm",sealon,"left sleeve hem, 3"" up from cuff, centered over sleeve fold",,color,,,,,1
9,N18-106 SUMMIT PACKABLE_TRIMS.csv,"nitro trim number: n18-trim-010
nitro text
reflective heat transfer",sealon,"back right: 4 1/2 to the right 
of cb, inline with 
underarm.",,color,,,,,1
10,N18-106 SUMMIT PACKABLE_TRIMS.csv,trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
11,N18-106 SUMMIT PACKABLE_TRIMS.csv,8mm metal eyelet,luk's / et04,hood adjust,,color,,,,,2 per side = 4
12,N18-106 SUMMIT PACKABLE_TRIMS.csv,8mm metal eyelet,luk's / et04,hem adjust (right side),,color,,,,,2
13,N18-106 SUMMIT PACKABLE_TRIMS.csv,notions,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
14,N18-106 SUMMIT PACKABLE_TRIMS.csv,bonding film,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
15,N18-106 SUMMIT PACKABLE_TRIMS.csv,velcro,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
16,N18-106 SUMMIT PACKABLE_TRIMS.csv,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,cuff on body,,match to shell,,,,,1 per side = 2
17,N18-106 SUMMIT PACKABLE_TRIMS.csv,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,,match to shell,,,,,1 per side = 2
18,N18-106 SUMMIT PACKABLE_TRIMS.csv,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
19,N18-106 SUMMIT PACKABLE_TRIMS.csv,labels ,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
20,N18-106 SUMMIT PACKABLE_TRIMS.csv,hang tags,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
21,N18-106 SUMMIT PACKABLE_TRIMS.csv,care and content labels,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,N18-108 ACCESS softshell_TRIMS.csv, #5 vislon aquaguard matte film (5vt9),ykk / dalh/dag 2-way semi auto locking,center front,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
1,N18-108 ACCESS softshell_TRIMS.csv, #5 vislon aquaguard matte film (5vt9),ykk /  dfw short 1-way non locking,hand pockets vertical,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1 per side = 2
2,N18-108 ACCESS softshell_TRIMS.csv, #5 coil zipper,non ykk / dfw short 1-way non locking,lining pocket vertical,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
3,N18-108 ACCESS softshell_TRIMS.csv,additional zipper pulls,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
4,N18-108 ACCESS softshell_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,center front,,color,,,,,1
5,N18-108 ACCESS softshell_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,,color,,,,,1 per side = 2
6,N18-108 ACCESS softshell_TRIMS.csv,branded trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
7,N18-108 ACCESS softshell_TRIMS.csv,trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
8,N18-108 ACCESS softshell_TRIMS.csv,8mm metal eyelet,luk's / et04,hem adjust,,color,,,,,2 per side = 4
9,N18-108 ACCESS softshell_TRIMS.csv,bead,luk's / et04,hem adjust,,color,,,,,1 per side = 2
10,N18-108 ACCESS softshell_TRIMS.csv,notions,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
11,N18-108 ACCESS softshell_TRIMS.csv,bonding film,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
12,N18-108 ACCESS softshell_TRIMS.csv,velcro,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
13,N18-108 ACCESS softshell_TRIMS.csv,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,cuff on body,,match to shell,,,,,1 per side = 2
14,N18-108 ACCESS softshell_TRIMS.csv,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,,match to shell,,,,,1 per side = 2
15,N18-108 ACCESS softshell_TRIMS.csv,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
16,N18-108 ACCESS softshell_TRIMS.csv,labels ,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
17,N18-108 ACCESS softshell_TRIMS.csv,hang tags,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
18,N18-108 ACCESS softshell_TRIMS.csv,care and content labels,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,N18-201-KITAMI BIB 3L_032917_TRIMS.csv, #5 coil zipper,ykk / dalh 1-way semi auto locking,fly,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
1,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,#5 aquaguard coil zipper with matte transparent film (5cnt10),ykk /  1-way dfw short non locking,hand pockets,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
2,N18-201-KITAMI BIB 3L_032917_TRIMS.csv, #5 coil zipper,ykk /  1-way dfw short non locking,back pockets horizontal ,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
3,N18-201-KITAMI BIB 3L_032917_TRIMS.csv, #5 coil zipper,ykk /  1-way dfw short non locking,chest pocket,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
4,N18-201-KITAMI BIB 3L_032917_TRIMS.csv,#5 aquaguard coil zipper with matte transparent film (5cnt10),"ykk dfw/dfw non lock // 2-way  closed end separating,  sliders close up and down, top is open end, bottom is closed",side entry,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
5,N18-201-KITAMI BIB 3L_032917_TRIMS.csv, #5 coil zipper,ykk / dalh 1-way semi auto locking,hem gusset ,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
