WORD_ID,VOCAB_WORD,prob_ctg_1,prob_ctg_0,prob_in_all_doc
0,black,0.0015709156193895871,0.030014917052149412,0.027273098436287918
1,pocket,0.0029174147217235187,0.02801090903611735,0.0256263694388873
2,tape,0.020421903052064632,0.021938614070245756,0.022264864791300916
3,zipper,0.02143177737881508,0.022330375035785856,0.022741191360796963
4,label,0.06373429084380611,0.016016996398812662,0.022169599477401707
5,color,0.0015709156193895871,0.023385116096855365,0.021284992991194764
6,side,0.012903949730700179,0.021516717645817952,0.020971978388383074
7,shell,0.007517953321364452,0.019572980547561288,0.018563126879788783
8,slider,0.003478456014362657,0.013018518239486491,0.0121531321874277
9,oxid,0.0007854578096947936,0.01289797640393569,0.011717633609602743
10,per,0.00011220825852782765,0.013786972441122846,0.012438928129125329
11,seam,0.012118491921005385,0.011632287130652282,0.011948992229072253
12,number,0.0006732495511669659,0.011617219401208433,0.010547231181698173
13,teeth,0.00011220825852782765,0.011225458435668328,0.010125341934430246
14,tcx,0.00011220825852782765,0.00976388867961487,0.008805236870398345
15,fabric,0.033325852782764814,0.005936685400876942,0.0093768287537936
16,ref,0.0037028725314183124,0.009522805008513267,0.009022986159310823
17,coil,0.021768402154398563,0.007262645591935751,0.009172688795438153
18,back,0.0014587073608617594,0.009251585878523965,0.008505831598143688
19,left,0.00011220825852782765,0.009402263172962467,0.008478612937029627
20,x,0.035457809694793535,0.005138095740352886,0.008914111514854585
21,loop,0.011333034111310593,0.007548932451368904,0.00816559833421794
22,front,0.0008976660682226212,0.008106438440791357,0.0074034758230242656
23,tag,0.019299820466786355,0.00565039854144379,0.007417085153581296
24,ykk,0.0011220825852782765,0.008091370711347507,0.007417085153581296
25,lock,0.00953770197486535,0.006659936414181747,0.007144898542440698
26,silver,0.00033662477558348296,0.007594135639700453,0.0068727119313001
27,hood,0.0004488330341113106,0.007277713321379602,0.006600525320159502
28,leather,0.010771992818671455,0.0060722949658715926,0.00676383728684386
29,snap,0.017055655296229804,0.005153163469796736,0.006695790634058711
30,suppli,0.012679533213644524,0.0054695857881175884,0.006450822684032172
31,copper,0.0007854578096947936,0.0071873069447165,0.006559697328488412
32,pull,0.02098294434470377,0.0043244383503849805,0.006423604022918113
33,faux,0.008976660682226212,0.00562026308255609,0.006137808081220485
34,hand,0.00011220825852782765,0.006373649554748595,0.005743137495066618
35,adjust,0.0006732495511669659,0.006675004143625597,0.006083370758992365
36,right,0.0002244165170556553,0.006690071873069447,0.006042542767321276
37,hem,0.002468581687612208,0.00569560172977534,0.0054165135616979
38,nylon,0.0013464991023339318,0.0060722949658715926,0.005620653520053348
39,sourc,0.004712746858168761,0.005454518058673739,0.00547095088392602
40,anti,0.0002244165170556553,0.00571066945921919,0.005157936281114332
41,hang,0.012230700179533214,0.00421896424427803,0.005266810925570571
42,cm,0.009762118491921006,0.004595657480374282,0.005307638917241661
43,print,0.00572262118491921,0.004716199315925083,0.004926577661644824
44,cord,0.002244165170556553,0.005273705305347537,0.005008233644987003
45,metal,0.015821364452423697,0.0038724064670694774,0.00538929490058384
46,skirt,0.00011220825852782765,0.005409314870342188,0.0048721403394167044
47,bodi,0.0005610412926391383,0.005394247140898338,0.004912968331087794
48,polyest,0.001234290843806104,0.005243569846459837,0.004858531008859674
49,sleev,0.0002244165170556553,0.005499721247005289,0.004967405653315914
50,flap,0.00011220825852782765,0.005017553904802086,0.004518297744933926
51,bag,0.002468581687612208,0.004987418445914385,0.004776875025517495
52,bottom,0.00011220825852782765,0.005318908493679088,0.004790484356074524
53,jacket,0.004151705565529623,0.004520318833155032,0.004559125736605016
54,non,0.005049371633752244,0.0044600479153796314,0.004613563058833136
55,refer,0.00033662477558348296,0.005107960281465186,0.004627172389390166
56,blue,0.00011220825852782765,0.005107960281465186,0.0045999537282761065
57,center,0.00011220825852782765,0.004475115644823482,0.0040283618448808504
58,pant,0.004937163375224416,0.0036011873370801755,0.0038242218865254017
59,tab,0.010323159784560144,0.0031491554537646724,0.00406918983655194
60,line,0.004712746858168761,0.0038724064670694774,0.0040419711754378805
61,elast,0.00718132854578097,0.0033149004776470235,0.0038378312170824318
62,face,0.0004488330341113106,0.004354573809272681,0.003960315192095701
63,grey,0.00011220825852782765,0.00429430289149728,0.0038650498781964914
64,main,0.0017953321364452424,0.003932677384844878,0.0037425659031832224
65,woven,0.008976660682226212,0.0030888845359892717,0.003851440547639462
66,sticker,0.014026032315978456,0.0023505657932406166,0.003797003225411342
67,corner,0.007069120287253142,0.003119019994876972,0.003647300589284013
68,alloy,0.00011220825852782765,0.0037820000904063766,0.0034023326392574747
69,zip,0.005385996409335727,0.0033751713954224237,0.0036745192503980727
70,size,0.009874326750448833,0.002561514005454518,0.0034839886225996545
71,dark,0.00011220825852782765,0.003977880573176428,0.003579253936498864
72,leg,0.0013464991023339318,0.003405306854310124,0.0032118020114590565
73,insid,0.00011220825852782765,0.0035861196076363254,0.003225411342016086
74,connect,0.00011220825852782765,0.0033751713954224237,0.0030348807142176674
75,end,0.002244165170556553,0.0032244941009839227,0.003157364689230937
76,star,0.0017953321364452424,0.0031491554537646724,0.0030348807142176674
77,twill,0.0037028725314183124,0.0028025976765561197,0.002953224730875488
78,bright,0.00011220825852782765,0.0036313227959678756,0.0032662393336871758
79,puller,0.00572262118491921,0.002712191299893019,0.003116536697559847
80,brass,0.00011220825852782765,0.0032998327482031734,0.002966834061432518
81,soli,0.00011220825852782765,0.0032998327482031734,0.002966834061432518
82,vent,0.0002244165170556553,0.0031792909126523725,0.002871568747533309
83,web,0.0052737881508079,0.0026067171937860685,0.002966834061432518
84,round,0.007854578096947935,0.0022300239576898157,0.0029396154003184585
85,close,0.002244165170556553,0.0029532749709946207,0.0029123967392043985
86,antiqu,0.00011220825852782765,0.003269697289315473,0.0029396154003184585
87,open,0.0011220825852782765,0.0028779363237753704,0.00270825678084895
88,spi,0.00381508078994614,0.0023354980637967666,0.002544944814164591
89,mesh,0.0058348294434470375,0.002109482122139015,0.002585772805835681
90,logo,0.003590664272890485,0.0025313785465668178,0.00269464745029192
91,collar,0.00033662477558348296,0.0027724622176684196,0.0025177261530505315
92,cuff,0.00011220825852782765,0.002546446276010668,0.002286367533581023
93,trim,0.00572262118491921,0.002019075745475914,0.0024905074919364715
94,tricot,0.008191202872531419,0.0015971793210481113,0.002408851508594292
95,powder,0.00011220825852782765,0.0026368526526737686,0.0023680235169232025
96,dull,0.0005610412926391383,0.0027423267587807195,0.0025177261530505315
97,l,0.006395870736086176,0.0018382629921497129,0.002408851508594292
98,night,0.00011220825852782765,0.0027875299471122696,0.0025041168224935015
99,gaiter,0.0011220825852782765,0.0023656335226844667,0.0022455395419099335
100,top,0.00011220825852782765,0.002561514005454518,0.0022999768641380532
101,rl,0.00011220825852782765,0.002682055841005319,0.002408851508594292
102,fit,0.0030296229802513463,0.002139617581026715,0.002272758203023993
103,male,0.00011220825852782765,0.002546446276010668,0.002286367533581023
104,poli,0.00011220825852782765,0.002561514005454518,0.0022999768641380532
105,wire,0.00011220825852782765,0.0025012430876791177,0.0022455395419099335
106,match,0.0011220825852782765,0.0024560398993475675,0.002327195525252113
