MATERIAL_ID,0,1,2,3,4,5,6
4,TRIM SET INCLUDES THE FOLLOWING,,,,,,
5,HEADPART,INSERT 1,INSERT 2,,,,
7,BACKPART ,SHOULDER PADS,CROTCH PAD,,,,
9,SEAT COVER,MESSY MAT,OTHER,,,,
13,PRIMARY FABRIC  (1),Main Fabric from Solis,,1.24,2.7,3.3480000000000003,
14,PRIMARY FABRIC  (2),,,,,,
15,PRIMARY FABRIC  (3),,,,,,
16,PRIMARY FABRIC  (4),,,,,,
18,CF Zip,,,1,0.26,0.26,23cm/3號/0.1267
21,Elastic,,,0.92,0.035,0.032200000000000006,概略
23,Snap,,,2,0.067,0.134,B890 中空五爪釦 鎳色無鎳 NTD 160/G(144SET)=0.04USD
24,Thread,,,,,0.03,
28,WELDING,,,,,,
29,BUTTON STITCH,,,,,,
31,SEWING ,,,,,,
32,OVER LOCKING / PIPING,,,,,,
36,PACKAGING,,,,,,
